################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   2.3748467113438512E-06   5.2805793356361075E-01   1.1535131608524139E-01   6.2371998175144223E-02
         1          2   4.2000811964875717E-01   8.4423282076828787E-01   5.4524990808097362E-01   3.2315881140482956E-02
         1          3   3.5587938287381861E-02   2.1619018185497951E-01   1.0904769704864047E-01   1.3609052049770903E-02
         1          4   0.0000000000000000E+00   1.4852369603097770E-01   4.3021800105147862E-02   2.7144809632512007E-02
         1          5   1.0534781573804815E-06   4.7658955467381725E-01   8.0079187322630266E-02   4.4831882727036615E-02
         1          6   3.4819500635826589E-01   7.4553624258579765E-01   4.5075665514397090E-01   2.5873141784167816E-02
         1          7   0.0000000000000000E+00   1.0609346031504260E-01   2.8054392792545974E-02   1.7905983382565962E-02
         1          8   2.2069115262481753E-07   4.0424355166588666E-01   4.0533544093889172E-02   2.4557164998459613E-02
         1          9   2.6707512799318600E-01   6.0938063701734346E-01   3.3768274535465426E-01   1.8135255521325874E-02
         1         10   2.4743564896577823E-08   3.3367214018388780E-01   1.6296873545616361E-02   1.1344435085979293E-02
         1         11   2.0850436896816960E-01   4.8317918309202906E-01   2.5495013555132706E-01   1.2202446511529592E-02
         1         12   2.7251996524912242E-01   1.0785572583452339E+00   7.0607395792425087E-01   1.8413202736546064E-01
         1         13   1.7408195252168550E+00   2.3566702263756585E+00   2.0220174360103473E+00   9.2385893051904061E-02
         1         14   3.6874307470390488E-01   6.9370849359279962E-01   4.6695096934467301E-01   4.7855587339778557E-02
         1         15   1.7124700350775957E-01   6.4895866375874856E-01   3.5611619419080914E-01   1.1670363673624350E-01
         1         16   1.4253988733900305E-01   8.8847597860311767E-01   4.9377516512265762E-01   1.5560116123424103E-01
         1         17   1.2775009291559032E+00   1.7918457942206827E+00   1.5047826899782790E+00   7.2285040129501876E-02
         1         18   2.6230926637266733E-01   5.4023493985484539E-01   3.4371731325002963E-01   3.8298156782941982E-02
         1         19   9.0418788058409597E-02   4.8633251855096277E-01   2.4145425741859636E-01   9.4173918999676046E-02
         1         20   3.4772026053211016E-02   6.5873004711221184E-01   2.4201414654088563E-01   9.8230652235411234E-02
         1         21   7.2954227268326066E-01   1.1727958763404980E+00   8.7891110764011049E-01   4.3881686227215465E-02
         1         22   1.1714532645967696E-01   3.2747545194749617E-01   1.8811093814877727E-01   2.2709089279268204E-02
         1         23   2.1496549096303125E-02   2.6502171611135406E-01   1.0907417486571497E-01   5.3087991458262367E-02
         1         24   4.6070901046941564E-03   4.9332909245834466E-01   9.3831405100970794E-02   4.6511985292035284E-02
         1         25   3.9954488294297891E-01   7.9271185613623585E-01   4.9575125336784587E-01   2.4515571614440571E-02
         1         26   2.6466714668246642E-03   1.1530019104093453E-01   3.6747315119106838E-02   2.0758107860988275E-02
         1         27   3.4090132473069140E-04   3.8233633814208218E-01   2.9985366747820413E-02   1.7866700303917748E-02
         1         28   2.5420091850473137E-01   5.6825239474981459E-01   3.1100689026073020E-01   1.4531735183828724E-02
