################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.8554776166151987E-01 a         1     0     1     1     1
 -1.2291658576114686E+00 a         2     0     1     1     2
 -3.0986486688736421E+00 a         3     0     1     1     3
 -1.6082254142353591E+00 a         4     0     1     1     4
 -2.0277151691826729E+00 a         5     0     1     1     5
  5.0484761361454578E-01 a         6     0     1     1     6
  1.6482862358066892E+00 a         7     0     1     1     7
 -4.3587492210035134E-02 a         8     0     1     1     8
 -3.5749458971052963E+00 a         9     0     1     1     9
  2.4543733832249788E+00 a        10     0     1     1    10
  1.4966687182420153E+00 a        11     0     1     1    11
 -9.5352062176913976E-01 a        12     0     1     1    12
  2.3981545525376040E+00 a        13     0     1     1    13
 -1.0474839968151670E+00 a        14     0     1     1    14
  3.3292393876650199E+00 a        15     0     1     1    15
  1.1415876985020572E+00 a        16     0     1     1    16
  1.1952436756515179E+00 a        17     0     1     1    17
 -1.2762664678282345E+00 a        18     0     1     1    18
 -1.6132117564311670E+00 a        19     0     1     1    19
 -4.6600583229851320E-02 a        20     0     1     1    20
  2.8286108618455095E+00 a        21     0     1     1    21
  1.9693011238184110E+00 a        22     0     1     1    22
 -2.1847373473663287E+00 a        23     0     1     1    23
 -4.7695883475342837E-01 a        24     0     1     1    24
 -1.0638428316190582E-01 a        25     0     1     1    25
  1.8162321321519641E+00 a        26     0     2     1     1
  1.7246124999862980E+00 a        27     0     2     1     2
 -7.7593919193472436E+00 a        28     0     2     1     3
 -4.6392709819763173E-01 a        29     0     2     1     4
  2.3667530216984453E-01 a        30     0     2     1     5
  1.5716334287842142E+00 a        31     0     2     1     6
  1.0863637996347351E+00 a        32     0     2     1     7
 -2.0068997863753104E+00 a        33     0     2     1     8
  6.9974495859114203E+00 a        34     0     2     1     9
  9.5339528484316116E-01 a        35     0     2     1    10
 -3.0967068277285076E-01 a        36     0     2     1    11
  3.8372442810573340E+00 a        37     0     2     1    12
 -4.6782476870304457E+00 a        38     0     2     1    13
  2.9237682542685556E-01 a        39     0     2     1    14
 -2.3031239330042377E+00 a        40     0     2     1    15
 -4.6244465597752598E+00 a        41     0     2     1    16
 -8.2155614940546347E+00 a        42     0     2     1    17
 -5.3952833157145346E+00 a        43     0     2     1    18
 -6.7433851942083702E+00 a        44     0     2     1    19
 -1.1284463223918542E+00 a        45     0     2     1    20
  1.3805441829273926E+00 a        46     0     2     1    21
  2.4889752806658589E+00 a        47     0     2     1    22
  8.0868227281194938E-01 a        48     0     2     1    23
 -1.2175587232707008E+00 a        49     0     2     1    24
  1.7262093847558715E+00 a        50     0     2     1    25
  3.2577468492170225E+00 a        51     0     3     1     1
 -1.5001109234410510E+00 a        52     0     3     1     2
 -1.0091350455182253E+00 a        53     0     3     1     3
  4.9003497589165462E-01 a        54     0     3     1     4
 -7.7562730265654989E-01 a        55     0     3     1     5
 -5.9709405408066001E+00 a        56     0     3     1     6
  3.0519042787704356E+00 a        57     0     3     1     7
  8.1196438394722570E-01 a        58     0     3     1     8
 -5.3793070037572051E+00 a        59     0     3     1     9
  1.6601037820477389E+00 a        60     0     3     1    10
 -1.4803470864039678E+00 a        61     0     3     1    11
  8.3000042953070741E-01 a        62     0     3     1    12
 -2.8437965748663339E+00 a        63     0     3     1    13
 -8.8327345312463734E-03 a        64     0     3     1    14
 -1.5460670348778793E+00 a        65     0     3     1    15
 -1.3673786188479204E+00 a        66     0     3     1    16
  1.9263392993028625E-01 a        67     0     3     1    17
 -4.2856553113937839E+00 a        68     0     3     1    18
  2.3247705712529693E-01 a        69     0     3     1    19
 -5.4923202376791895E+00 a        70     0     3     1    20
 -1.1120582133148473E+00 a        71     0     3     1    21
  1.1723281843934632E+00 a        72     0     3     1    22
  1.7462650250199605E+00 a        73     0     3     1    23
  7.3527236076434006E+00 a        74     0     3     1    24
 -1.5219463690368795E+00 a        75     0     3     1    25
  3.3344696540942537E-01 a        76     0     4     1     1
  4.6791645950501276E-01 a        77     0     4     1     2
  3.2443999408984805E+00 a        78     0     4     1     3
 -3.0451564213358595E+00 a        79     0     4     1     4
 -2.6714253409346511E-01 a        80     0     4     1     5
 -2.7681296051024401E-01 a        81     0     4     1     6
  7.3402824477765705E-01 a        82     0     4     1     7
  3.4431028655417051E+00 a        83     0     4     1     8
 -4.0231056835007024E+00 a        84     0     4     1     9
  5.4030506118774628E+00 a        85     0     4     1    10
 -1.0965263084481380E+00 a        86     0     4     1    11
  6.9573745549416544E-01 a        87     0     4     1    12
  2.0136056678676835E+00 a        88     0     4     1    13
  3.4447049978866837E+00 a        89     0     4     1    14
  4.9886646640443688E+00 a        90     0     4     1    15
  7.2493283901908023E-01 a        91     0     4     1    16
  2.5284161331528492E+00 a        92     0     4     1    17
  2.7420442563987981E+00 a        93     0     4     1    18
  1.0028785926231394E+00 a        94     0     4     1    19
  1.0838646180012834E+00 a        95     0     4     1    20
  1.5776971229898473E+00 a        96     0     4     1    21
  4.1421746364312284E-01 a        97     0     4     1    22
 -5.6058447719968008E-01 a        98     0     4     1    23
 -4.8327755288921947E+00 a        99     0     4     1    24
 -2.6380370201840240E+00 a       100     0     4     1    25
  4.3472181191132980E-01 a       101     0     5     1     1
  3.2294586516731041E+00 a       102     0     5     1     2
  8.8856242908294703E-01 a       103     0     5     1     3
  5.2327990480811666E+00 a       104     0     5     1     4
  3.3064067860951267E+00 a       105     0     5     1     5
  4.8141224801411159E-01 a       106     0     5     1     6
  8.7784997571597578E-01 a       107     0     5     1     7
 -5.6556944677489185E-01 a       108     0     5     1     8
  3.9739367186897967E+00 a       109     0     5     1     9
  3.9540373453751776E-02 a       110     0     5     1    10
 -1.1647244340644904E+00 a       111     0     5     1    11
 -1.0290125193253099E+00 a       112     0     5     1    12
 -6.3205098180454167E-01 a       113     0     5     1    13
  3.3726712639129097E-01 a       114     0     5     1    14
 -3.8306688224370355E-01 a       115     0     5     1    15
  4.0120138522202433E+00 a       116     0     5     1    16
 -2.1500686109343938E+00 a       117     0     5     1    17
 -5.7016513948753278E-01 a       118     0     5     1    18
 -2.0497374762572521E-01 a       119     0     5     1    19
 -2.7617353593940042E+00 a       120     0     5     1    20
  1.1830798233690927E+00 a       121     0     5     1    21
 -2.7866924190186149E+00 a       122     0     5     1    22
  9.2437786420760348E-01 a       123     0     5     1    23
 -4.1257762441964752E-01 a       124     0     5     1    24
  9.0427326999808433E-01 a       125     0     5     1    25
