################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.8831756934763162E-01 a         1     0     1     1     1
 -3.3300170776809024E+00 a         2     0     1     1     2
  8.0537102603978594E-01 a         3     0     1     1     3
  7.2951743862639129E-01 a         4     0     1     1     4
 -5.9569824592796139E-01 a         5     0     1     1     5
 -9.0395840355575618E-01 a         6     0     1     1     6
 -1.7927057141136926E-01 a         7     0     1     1     7
 -3.7707612781218636E-01 a         8     0     1     1     8
 -7.1955379890628024E-01 a         9     0     1     1     9
 -1.0822866757061489E+00 a        10     0     1     1    10
  2.6419914227536589E-01 a        11     0     1     1    11
  7.8928642410994299E-01 a        12     0     1     1    12
 -5.2578973178464793E-02 a        13     0     1     1    13
 -3.0662112108724282E-01 a        14     0     1     1    14
 -1.2372012317011942E+00 a        15     0     1     1    15
 -4.3043310811927871E-01 a        16     0     1     1    16
  2.8589737006023195E+00 a        17     0     1     1    17
  8.1541235437191928E-01 a        18     0     1     1    18
  1.0365640176238808E+00 a        19     0     1     1    19
 -2.1616504200917017E+00 a        20     0     1     1    20
  6.2644706870322175E-01 a        21     0     1     1    21
  4.0790161305074668E-01 a        22     0     1     1    22
 -2.4627452620818044E-02 a        23     0     1     1    23
 -4.9463516029042420E-01 a        24     0     1     1    24
  8.0786357319819835E-01 a        25     0     1     1    25
 -4.4068971929685175E-01 a        26     0     2     1     1
 -1.0212995788048560E+00 a        27     0     2     1     2
  1.4563523911869386E-01 a        28     0     2     1     3
 -1.7661747723910820E-01 a        29     0     2     1     4
  4.6256787833152968E-01 a        30     0     2     1     5
  8.7784894236312028E-01 a        31     0     2     1     6
  1.0693684061263208E-01 a        32     0     2     1     7
 -1.9645408134418268E-01 a        33     0     2     1     8
  2.3620930950014776E+00 a        34     0     2     1     9
  1.0409219414398811E+00 a        35     0     2     1    10
  7.9946472297900445E-02 a        36     0     2     1    11
 -1.5930442542325876E+00 a        37     0     2     1    12
 -1.0190029876895863E+00 a        38     0     2     1    13
 -5.1709887429309742E-01 a        39     0     2     1    14
 -2.0725180929972771E+00 a        40     0     2     1    15
  1.1590757397541072E+00 a        41     0     2     1    16
 -2.4895283454614918E+00 a        42     0     2     1    17
  3.5756219311614523E-01 a        43     0     2     1    18
 -8.3587137951594004E-01 a        44     0     2     1    19
 -9.7798204386921339E-01 a        45     0     2     1    20
  6.9924125145819294E-01 a        46     0     2     1    21
  5.5130068966492141E-03 a        47     0     2     1    22
  9.0101815843386646E-01 a        48     0     2     1    23
  1.3578209718002059E+00 a        49     0     2     1    24
 -3.8632242803073438E+00 a        50     0     2     1    25
 -9.5515595546122534E-01 a        51     0     3     1     1
 -7.3109743600922472E-01 a        52     0     3     1     2
  4.2403665935745988E-01 a        53     0     3     1     3
  6.6858724936114455E-01 a        54     0     3     1     4
 -1.0182587339078530E+00 a        55     0     3     1     5
 -6.9006519693466162E-01 a        56     0     3     1     6
  3.6970259823846024E-01 a        57     0     3     1     7
 -1.1240943744471836E+00 a        58     0     3     1     8
  1.6419004847724986E-01 a        59     0     3     1     9
 -3.9630840575033710E-01 a        60     0     3     1    10
  4.5808424089602934E-01 a        61     0     3     1    11
  2.5664341565016802E-01 a        62     0     3     1    12
  7.5163091450754049E-01 a        63     0     3     1    13
 -1.0532792269466187E+00 a        64     0     3     1    14
 -1.7638640951675104E+00 a        65     0     3     1    15
 -4.5466069880407256E-01 a        66     0     3     1    16
 -2.5488033708834799E+00 a        67     0     3     1    17
 -1.2219614416151767E-01 a        68     0     3     1    18
 -2.4042676962850387E-01 a        69     0     3     1    19
  5.2101242531699564E-03 a        70     0     3     1    20
  9.0643281264868125E-01 a        71     0     3     1    21
  3.0674985068070454E-01 a        72     0     3     1    22
 -3.4324648844396888E-01 a        73     0     3     1    23
 -3.1367822359818553E-01 a        74     0     3     1    24
 -3.8889873912290501E-01 a        75     0     3     1    25
 -5.4797267800772353E-01 a        76     0     4     1     1
  2.5832590973946363E+00 a        77     0     4     1     2
  1.1925027627171090E+00 a        78     0     4     1     3
  1.9457934245916393E+00 a        79     0     4     1     4
 -1.8644645746065711E-01 a        80     0     4     1     5
 -6.1499540193964186E-01 a        81     0     4     1     6
  9.9870935080520321E-02 a        82     0     4     1     7
 -1.8140639021578941E-01 a        83     0     4     1     8
 -2.7628167434478607E-01 a        84     0     4     1     9
  8.6161341506174716E-02 a        85     0     4     1    10
 -6.1649238558715003E-01 a        86     0     4     1    11
  6.5648696922490446E-01 a        87     0     4     1    12
 -8.0937733798044309E-01 a        88     0     4     1    13
 -5.3063406083737841E-01 a        89     0     4     1    14
 -1.5074293901864669E-01 a        90     0     4     1    15
  5.3084994047261158E-01 a        91     0     4     1    16
 -9.1146694083729596E-01 a        92     0     4     1    17
  9.5868010119041003E-01 a        93     0     4     1    18
 -7.3494035386421264E-01 a        94     0     4     1    19
  1.1705024806338169E+00 a        95     0     4     1    20
 -3.3501437065585854E-01 a        96     0     4     1    21
  1.6827866106027884E+00 a        97     0     4     1    22
  1.1299062255050618E+00 a        98     0     4     1    23
 -1.4615280768319900E+00 a        99     0     4     1    24
 -1.2916743149612682E+00 a       100     0     4     1    25
 -4.7264213801716431E-01 a       101     0     5     1     1
  3.0048906707165829E-01 a       102     0     5     1     2
  8.8722252173543736E-01 a       103     0     5     1     3
 -1.8202526390631295E+00 a       104     0     5     1     4
 -2.2489618214472507E-01 a       105     0     5     1     5
  2.9725857052479571E-01 a       106     0     5     1     6
 -9.1880372893286177E-01 a       107     0     5     1     7
  8.2387226613409248E-01 a       108     0     5     1     8
 -4.2111645328140007E-01 a       109     0     5     1     9
  7.0105090302518169E-01 a       110     0     5     1    10
 -2.3059777073835985E-01 a       111     0     5     1    11
 -6.6098037837652068E-01 a       112     0     5     1    12
  1.0006742711642260E+00 a       113     0     5     1    13
 -1.0499271877647796E+00 a       114     0     5     1    14
 -3.0531214038320564E-01 a       115     0     5     1    15
 -4.7222249015009554E-01 a       116     0     5     1    16
 -9.0079637196107676E-01 a       117     0     5     1    17
  9.5224927650248736E-01 a       118     0     5     1    18
  6.0790702969133990E-02 a       119     0     5     1    19
  6.6415505573085920E-01 a       120     0     5     1    20
 -1.4256864308913797E-01 a       121     0     5     1    21
 -7.9784793725812486E-01 a       122     0     5     1    22
 -1.6889664532790355E-01 a       123     0     5     1    23
 -2.2559602333726629E+00 a       124     0     5     1    24
 -2.3705174562151857E-01 a       125     0     5     1    25
  1.0752221155886650E+00 a       126     0     6     1     1
 -2.0342141718194311E+00 a       127     0     6     1     2
 -1.7293660271524885E-01 a       128     0     6     1     3
 -1.1678040303199520E-01 a       129     0     6     1     4
 -9.5894823847620114E-01 a       130     0     6     1     5
 -1.8749432992452166E+00 a       131     0     6     1     6
  3.3064085484168981E-01 a       132     0     6     1     7
 -1.1601169795891033E+00 a       133     0     6     1     8
 -4.2493860939321006E+00 a       134     0     6     1     9
 -6.7895939199256317E-01 a       135     0     6     1    10
  7.8223361364814015E-01 a       136     0     6     1    11
 -1.2377733061709060E+00 a       137     0     6     1    12
 -2.9385926936492229E-01 a       138     0     6     1    13
 -3.1307674681013928E+00 a       139     0     6     1    14
  1.6699972100974019E+00 a       140     0     6     1    15
  1.1799652826257350E+00 a       141     0     6     1    16
  2.5229476799741395E+00 a       142     0     6     1    17
 -1.6009350837987040E+00 a       143     0     6     1    18
  2.3040472494779758E+00 a       144     0     6     1    19
  1.8519711577297040E+00 a       145     0     6     1    20
  1.1074274417826462E+00 a       146     0     6     1    21
  1.5170472590254500E+00 a       147     0     6     1    22
 -5.6912236730894394E-01 a       148     0     6     1    23
  7.3309307878674290E-01 a       149     0     6     1    24
  1.9821203989335263E+00 a       150     0     6     1    25
 -2.0192251042946676E+00 a       151     0     7     1     1
  5.4765117566785693E-01 a       152     0     7     1     2
 -1.6224767619132519E+00 a       153     0     7     1     3
  8.2121662768573844E-01 a       154     0     7     1     4
 -8.2172477199290328E-01 a       155     0     7     1     5
  1.6983110543998381E-01 a       156     0     7     1     6
  8.0811945393738260E-01 a       157     0     7     1     7
 -1.6166662635144471E+00 a       158     0     7     1     8
  1.3449108463012434E+00 a       159     0     7     1     9
  1.2029186256132973E+00 a       160     0     7     1    10
 -3.2115275001738980E-01 a       161     0     7     1    11
 -1.4480762446738580E+00 a       162     0     7     1    12
  9.5996566713687184E-02 a       163     0     7     1    13
  4.9691691887967221E-01 a       164     0     7     1    14
 -8.6032930227732604E-02 a       165     0     7     1    15
 -1.3000770913846238E+00 a       166     0     7     1    16
  8.5863037171613066E-01 a       167     0     7     1    17
 -2.3307706694637793E+00 a       168     0     7     1    18
  8.7814108919015010E-01 a       169     0     7     1    19
  5.2916893424665878E-01 a       170     0     7     1    20
  3.4338879677706413E-01 a       171     0     7     1    21
 -2.8260578873975861E+00 a       172     0     7     1    22
  5.1239459267632223E-02 a       173     0     7     1    23
  2.7419424192019277E+00 a       174     0     7     1    24
  3.1790961747989153E+00 a       175     0     7     1    25
 -1.1268446082805361E+00 a       176     0     8     1     1
  2.1532522122670787E+00 a       177     0     8     1     2
  6.8557715910613171E-01 a       178     0     8     1     3
 -5.8815638790762714E-01 a       179     0     8     1     4
  1.5798892231289116E-01 a       180     0     8     1     5
 -6.5075164561122584E-02 a       181     0     8     1     6
 -1.6991255126329181E+00 a       182     0     8     1     7
  1.4466613893839424E+00 a       183     0     8     1     8
 -1.6492618923696769E+00 a       184     0     8     1     9
  4.3724055187879862E-01 a       185     0     8     1    10
 -1.7838297528045985E+00 a       186     0     8     1    11
 -2.4542755635490949E+00 a       187     0     8     1    12
  1.4188694231425474E+00 a       188     0     8     1    13
 -1.2462925882767155E+00 a       189     0     8     1    14
  1.5704591605747349E+00 a       190     0     8     1    15
  2.9595579250450477E-01 a       191     0     8     1    16
 -1.1853447618314157E+00 a       192     0     8     1    17
 -7.6159517228782836E-01 a       193     0     8     1    18
  4.2222010037283109E-01 a       194     0     8     1    19
  2.0126343212681941E+00 a       195     0     8     1    20
 -1.5199153073572819E-01 a       196     0     8     1    21
 -1.7618691644691098E-01 a       197     0     8     1    22
  3.2749054178079356E-01 a       198     0     8     1    23
 -1.4450036615695621E+00 a       199     0     8     1    24
  1.2498787893176950E+00 a       200     0     8     1    25
  4.4272070374352888E+00 a       201     0     9     1     1
  4.6488235426194117E-02 a       202     0     9     1     2
  1.7715495583694227E+00 a       203     0     9     1     3
  1.0604462160620727E+00 a       204     0     9     1     4
  2.3300447618633108E-01 a       205     0     9     1     5
 -2.8050435599542356E-01 a       206     0     9     1     6
  4.5643387197339944E+00 a       207     0     9     1     7
  2.6071739770849107E+00 a       208     0     9     1     8
  1.0681115437559474E+00 a       209     0     9     1     9
  7.2470807408018212E-01 a       210     0     9     1    10
  4.2892452920359423E+00 a       211     0     9     1    11
  1.8589154320574242E+00 a       212     0     9     1    12
 -2.2624109492341655E+00 a       213     0     9     1    13
  1.5693685899396143E-01 a       214     0     9     1    14
  8.6498671957626005E-02 a       215     0     9     1    15
  5.8430588626533797E-01 a       216     0     9     1    16
 -1.7261424744860072E+00 a       217     0     9     1    17
  2.5796652030333656E+00 a       218     0     9     1    18
 -1.9554962543712062E+00 a       219     0     9     1    19
  3.6898651757451626E+00 a       220     0     9     1    20
 -5.6613485365916649E-01 a       221     0     9     1    21
 -1.9852597161694985E+00 a       222     0     9     1    22
 -2.1803614469969488E+00 a       223     0     9     1    23
 -3.4767484007960063E+00 a       224     0     9     1    24
 -1.5517908078446543E+00 a       225     0     9     1    25
  8.9425686003059046E-01 a       226     0    10     1     1
 -5.2132215056031517E-01 a       227     0    10     1     2
  2.7619329686656258E-01 a       228     0    10     1     3
 -1.4504911491732746E+00 a       229     0    10     1     4
  2.8296610494812013E-01 a       230     0    10     1     5
 -6.9267163394180276E-01 a       231     0    10     1     6
  5.5917876059702809E-01 a       232     0    10     1     7
  5.0447287628679255E-02 a       233     0    10     1     8
  1.3518826723208162E+00 a       234     0    10     1     9
 -1.1605003271871754E+00 a       235     0    10     1    10
 -4.8050280825107627E-01 a       236     0    10     1    11
  2.1733521873082501E-01 a       237     0    10     1    12
 -1.5711656086883408E+00 a       238     0    10     1    13
  7.7804727654347638E-01 a       239     0    10     1    14
  2.1222066761803363E-01 a       240     0    10     1    15
 -4.7315236773500086E-01 a       241     0    10     1    16
 -2.1860773482431145E-01 a       242     0    10     1    17
  1.0059471727005080E+00 a       243     0    10     1    18
 -1.3347058805831387E+00 a       244     0    10     1    19
  1.4619307496071848E-01 a       245     0    10     1    20
 -8.4117468092683578E-01 a       246     0    10     1    21
  1.2607967298751817E+00 a       247     0    10     1    22
  5.4223221878258854E-01 a       248     0    10     1    23
  1.2449961213473473E+00 a       249     0    10     1    24
  9.9917215463779741E-01 a       250     0    10     1    25
 -2.2349177783105434E-01 a       251     0    11     1     1
  1.0493371187787748E+00 a       252     0    11     1     2
  2.9041389871344547E-01 a       253     0    11     1     3
 -2.0211029406195746E+00 a       254     0    11     1     4
  9.9995983188160042E-01 a       255     0    11     1     5
 -1.8145357609759327E+00 a       256     0    11     1     6
  2.5534410858851269E+00 a       257     0    11     1     7
 -4.8541451144901632E-01 a       258     0    11     1     8
  5.1244649373665769E+00 a       259     0    11     1     9
  3.8913996575785675E-01 a       260     0    11     1    10
  5.9536932939274045E-01 a       261     0    11     1    11
  2.7119272749366892E+00 a       262     0    11     1    12
 -2.2977439547706182E+00 a       263     0    11     1    13
  1.6597821463052169E+00 a       264     0    11     1    14
 -1.9087634766203081E+00 a       265     0    11     1    15
 -2.1798868297347423E-01 a       266     0    11     1    16
 -4.3310374038834363E+00 a       267     0    11     1    17
  2.4833922351715612E+00 a       268     0    11     1    18
 -3.6545724046136572E+00 a       269     0    11     1    19
 -1.4378000646500361E-01 a       270     0    11     1    20
 -3.2014148582355101E-01 a       271     0    11     1    21
  7.9884054161903379E-03 a       272     0    11     1    22
 -1.0085198206122241E+00 a       273     0    11     1    23
  2.9135262140128271E+00 a       274     0    11     1    24
 -1.8310164777890707E+00 a       275     0    11     1    25
 -3.9543265122063159E-01 a       276     0    12     1     1
  1.3864987666008839E+00 a       277     0    12     1     2
  1.7327538457987171E-01 a       278     0    12     1     3
 -1.2488871084267654E+00 a       279     0    12     1     4
 -4.1537021964900944E-01 a       280     0    12     1     5
  1.4767538981752086E-02 a       281     0    12     1     6
  1.7979778113123648E+00 a       282     0    12     1     7
 -7.6381375279338429E-02 a       283     0    12     1     8
  2.4563604247120279E+00 a       284     0    12     1     9
 -8.9859938490508129E-01 a       285     0    12     1    10
  1.1416528265304262E+00 a       286     0    12     1    11
  2.3051558525896447E+00 a       287     0    12     1    12
 -1.4081822167272819E+00 a       288     0    12     1    13
  3.2528158188564462E+00 a       289     0    12     1    14
 -4.8030137826179803E-01 a       290     0    12     1    15
 -3.9416887315849419E-01 a       291     0    12     1    16
 -1.9770616249566975E+00 a       292     0    12     1    17
  1.9776380498567476E+00 a       293     0    12     1    18
 -2.4360188499245807E+00 a       294     0    12     1    19
  1.4729096247997269E+00 a       295     0    12     1    20
  7.5248509427454369E-02 a       296     0    12     1    21
  1.2902472407652918E+00 a       297     0    12     1    22
  6.2129204488919887E-01 a       298     0    12     1    23
 -4.8010966087221724E-01 a       299     0    12     1    24
 -2.1541134043753738E+00 a       300     0    12     1    25
 -2.7011434410152959E+00 a       301     0    13     1     1
  3.0661135270198372E+00 a       302     0    13     1     2
 -1.2226149227934640E+00 a       303     0    13     1     3
 -2.7542580506426977E+00 a       304     0    13     1     4
  2.0391798752024279E-02 a       305     0    13     1     5
  2.2257037824868391E+00 a       306     0    13     1     6
 -2.1133942408184891E+00 a       307     0    13     1     7
  6.4769925331181399E-01 a       308     0    13     1     8
 -2.2323550524229181E+00 a       309     0    13     1     9
  1.0273179771369187E+00 a       310     0    13     1    10
 -4.3402925560613390E+00 a       311     0    13     1    11
 -3.9939375796151482E+00 a       312     0    13     1    12
  5.0893048886842616E+00 a       313     0    13     1    13
  8.8313215324453728E-02 a       314     0    13     1    14
  8.2698074386167963E-01 a       315     0    13     1    15
 -1.8065254761222844E+00 a       316     0    13     1    16
  2.3248721867211812E+00 a       317     0    13     1    17
 -1.4540637075988465E+00 a       318     0    13     1    18
  1.6051188322932999E+00 a       319     0    13     1    19
 -3.1185144040052033E+00 a       320     0    13     1    20
 -5.3448692957660804E-01 a       321     0    13     1    21
  3.1523939542269264E-01 a       322     0    13     1    22
  2.9414190077312647E+00 a       323     0    13     1    23
  1.7854358156810395E+00 a       324     0    13     1    24
  2.1503264504943180E+00 a       325     0    13     1    25
  7.5274787853526925E-01 a       326     0    14     1     1
 -5.4854193448626554E-01 a       327     0    14     1     2
  1.8947239717297497E+00 a       328     0    14     1     3
