################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0496368020900875E+00 a         1     0     1     1     1
 -5.7637806574041839E-01 a         2     0     1     1     2
 -1.1249978375657728E+00 a         3     0     1     1     3
 -1.8036126082019890E+00 a         4     0     1     1     4
 -9.6428396521160553E-01 a         5     0     1     1     5
 -1.3848806487134728E+00 a         6     0     1     1     6
 -1.3834893390952849E+00 a         7     0     1     1     7
  7.6862160001352908E-01 a         8     0     1     1     8
 -2.7870092878747871E-01 a         9     0     1     1     9
 -7.2560553526770666E-01 a        10     0     1     1    10
  8.4451963951932962E-01 a        11     0     1     1    11
 -1.0167579966746065E+00 a        12     0     1     1    12
 -1.1103543121659181E+00 a        13     0     1     1    13
  5.4883166353012502E-01 a        14     0     1     1    14
  1.0319426535469818E+00 a        15     0     1     1    15
  2.5028543573577305E-01 a        16     0     1     1    16
 -1.1212077062009394E-01 a        17     0     1     1    17
  9.9687312747235501E-01 a        18     0     1     1    18
 -8.2531537075124894E-01 a        19     0     1     1    19
  1.8698878367982349E-01 a        20     0     1     1    20
 -1.9574650958991377E-01 a        21     0     1     1    21
 -1.2570730385847720E-01 a        22     0     1     1    22
  1.6088499339111925E-01 a        23     0     1     1    23
 -4.9486507810592639E-01 a        24     0     1     1    24
 -2.8884080148391000E-01 a        25     0     1     1    25
 -1.2620911188520090E+00 a        26     0     2     1     1
 -1.9080014690065907E+00 a        27     0     2     1     2
  4.5393910874022725E-01 a        28     0     2     1     3
  9.6303140472982840E-01 a        29     0     2     1     4
 -7.6811584497393970E-01 a        30     0     2     1     5
 -3.7228907137077778E+00 a        31     0     2     1     6
 -1.6049199709632611E+00 a        32     0     2     1     7
  1.0235958180379641E+00 a        33     0     2     1     8
  1.0682484643184922E+00 a        34     0     2     1     9
 -1.2895189435219283E+00 a        35     0     2     1    10
  1.5791501054220058E+00 a        36     0     2     1    11
  1.6207996871382091E+00 a        37     0     2     1    12
 -9.0304977394534247E-01 a        38     0     2     1    13
  8.3294680821070943E-01 a        39     0     2     1    14
  6.7888866983566520E-01 a        40     0     2     1    15
  1.0938495381797941E+00 a        41     0     2     1    16
 -2.5674386963845945E+00 a        42     0     2     1    17
 -4.4033111361717842E-01 a        43     0     2     1    18
 -8.5132568918696261E-01 a        44     0     2     1    19
  9.5161888936025196E-01 a        45     0     2     1    20
  2.6351301341201516E+00 a        46     0     2     1    21
 -1.5318033091251115E-01 a        47     0     2     1    22
 -7.4904919992956587E-01 a        48     0     2     1    23
 -8.4625990802755027E-02 a        49     0     2     1    24
 -6.6240480552573111E-01 a        50     0     2     1    25
 -3.2704580134208650E-01 a        51     0     3     1     1
  1.8816142081966984E+00 a        52     0     3     1     2
  1.6729751380899349E+00 a        53     0     3     1     3
 -3.5397747232254267E-01 a        54     0     3     1     4
  3.4924525582337489E-02 a        55     0     3     1     5
  1.8950518616929244E+00 a        56     0     3     1     6
  1.1067540802765183E+00 a        57     0     3     1     7
 -2.6235197630136120E-01 a        58     0     3     1     8
 -1.3591434359694465E+00 a        59     0     3     1     9
 -7.2834707512855801E-01 a        60     0     3     1    10
  6.7600601891896872E-01 a        61     0     3     1    11
 -7.4914530244944011E-01 a        62     0     3     1    12
  9.0077642675266445E-01 a        63     0     3     1    13
  6.6487499057596733E-01 a        64     0     3     1    14
  1.5629529079553242E+00 a        65     0     3     1    15
 -1.2421567410988306E+00 a        66     0     3     1    16
 -1.4580755927435789E+00 a        67     0     3     1    17
