################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.1763963949484511E-01 a         1     0     1     1     1
  9.6079217696557451E-01 a         2     0     1     1     2
 -4.6747580279953821E-01 a         3     0     1     1     3
 -8.1874567773708729E-01 a         4     0     1     1     4
  2.3047418467050900E+00 a         5     0     1     1     5
  1.4477041642294186E+00 a         6     0     1     1     6
  7.7103127314613362E-01 a         7     0     1     1     7
  1.1013040584289718E-01 a         8     0     1     1     8
  1.1717072486304578E-01 a         9     0     1     1     9
 -3.7626818018924435E-01 a        10     0     1     1    10
 -1.4573474662652715E+00 a        11     0     1     1    11
  1.3316019091367475E+00 a        12     0     1     1    12
  6.1716517495852952E-01 a        13     0     1     1    13
 -6.1920379003213089E-01 a        14     0     1     1    14
  7.2308759429570890E-01 a        15     0     1     1    15
 -3.1908206785679596E+00 a        16     0     1     1    16
 -9.1140619126692723E-01 a        17     0     1     1    17
  2.9828464261823334E-01 a        18     0     1     1    18
 -8.9269600612298716E-01 a        19     0     1     1    19
 -1.3065360819063943E+00 a        20     0     1     1    20
  1.3364788113385708E+00 a        21     0     1     1    21
  1.3823019552976921E+00 a        22     0     1     1    22
 -1.6978165774902187E+00 a        23     0     1     1    23
 -1.0017062979274943E-02 a        24     0     1     1    24
  3.0942602582134349E-01 a        25     0     1     1    25
  9.7388949034385131E-01 a        26     0     2     1     1
  1.4018266769528138E+00 a        27     0     2     1     2
 -8.9575917138809769E-01 a        28     0     2     1     3
 -2.0625975136148544E+00 a        29     0     2     1     4
 -1.2561518425217591E-01 a        30     0     2     1     5
  1.1032456577608347E+00 a        31     0     2     1     6
  1.3130241181017221E+00 a        32     0     2     1     7
  8.8119159491297028E-01 a        33     0     2     1     8
 -3.4132629732943293E-01 a        34     0     2     1     9
 -1.8522878588048177E+00 a        35     0     2     1    10
