################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2041702322137522E-05   5.2805793356361075E-01   1.1420209353564417E-01   6.2680425391765784E-02
         1          2   4.2000812004221005E-01   8.4423282076828787E-01   5.4379386689997300E-01   3.2360393793829434E-02
         1          3   3.5587938287381861E-02   2.1619018185497951E-01   1.0786479555634403E-01   1.2604411366062853E-02
         1          4   0.0000000000000000E+00   1.4852369574564095E-01   4.3282476820156415E-02   2.8123839122014826E-02
         1          5   5.3831554014580694E-06   4.7658955467381725E-01   7.9406376056229272E-02   4.5111285530355059E-02
         1          6   3.4819500678124438E-01   7.4553624258579765E-01   4.4944172146735573E-01   2.6050285031609506E-02
         1          7   0.0000000000000000E+00   1.0609346004278261E-01   2.8244335091392243E-02   1.8535492507321425E-02
         1          8   1.1445812603182011E-06   4.0424355166588666E-01   4.0337431841528798E-02   2.4785857060657515E-02
         1          9   2.6707512847691844E-01   6.0938063701734346E-01   3.3669622912828895E-01   1.8345920843876456E-02
         1         10   1.3101886598990044E-07   3.3367214018388780E-01   1.6313325660793347E-02   1.1506650434957355E-02
         1         11   2.0850436940761682E-01   4.8317918309202906E-01   2.5438713364954146E-01   1.2262805321210345E-02
         1         12   2.7251996498731390E-01   1.0785572583452339E+00   7.0214792159868356E-01   1.8448951127242133E-01
         1         13   1.7408195264760216E+00   2.3566702263756585E+00   2.0181384905434236E+00   9.0763479574968858E-02
         1         14   3.6874307470390488E-01   6.9370849359279962E-01   4.6398990512319688E-01   4.5305948366209665E-02
         1         15   1.7124700364559400E-01   6.4895866438318095E-01   3.5696768513148880E-01   1.2001639211391427E-01
