################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.2997287485384457E-01 a         1     0     1     1     1
  2.7898514744067016E-01 a         2     0     1     1     2
 -1.0129507270714631E+00 a         3     0     1     1     3
 -7.1919465771948843E-01 a         4     0     1     1     4
  1.4513130038206101E+00 a         5     0     1     1     5
  4.8371958595763882E+00 a         6     0     1     1     6
  1.8439102851193152E+00 a         7     0     1     1     7
 -6.2061395019171084E-01 a         8     0     1     1     8
 -1.2247718922745969E+00 a         9     0     1     1     9
 -2.6121923291897358E+00 a        10     0     1     1    10
 -1.5654658272408521E+00 a        11     0     1     1    11
 -2.0458426153656251E+00 a        12     0     1     1    12
 -1.8254935682914699E+00 a        13     0     1     1    13
 -1.8522241872405343E-01 a        14     0     1     1    14
  1.6737334020633883E+00 a        15     0     1     1    15
  1.1411236646679410E-01 a        16     0     1     1    16
  2.2170932339514095E-02 a        17     0     1     1    17
  1.8844262248453199E+00 a        18     0     1     1    18
  1.1674410279172878E+00 a        19     0     1     1    19
 -1.4602460872694583E+00 a        20     0     1     1    20
  2.3781303057401413E+00 a        21     0     1     1    21
  1.1985037085907653E+00 a        22     0     1     1    22
  7.5673887925572025E-01 a        23     0     1     1    23
 -1.5422855125942760E+00 a        24     0     1     1    24
  1.3099444298459995E+00 a        25     0     1     1    25
  4.1346202977774471E+00 a        26     0     2     1     1
  5.8743226296839668E-01 a        27     0     2     1     2
 -3.4151298704132258E+00 a        28     0     2     1     3
  1.5791099347882422E+00 a        29     0     2     1     4
 -5.4543470875146316E-01 a        30     0     2     1     5
  1.0512421375542107E+00 a        31     0     2     1     6
  1.1608577454345934E+00 a        32     0     2     1     7
  8.5109342307780400E-01 a        33     0     2     1     8
 -9.7316025073425716E-01 a        34     0     2     1     9
 -2.5288637016434543E+00 a        35     0     2     1    10
  2.9339990521789088E+00 a        36     0     2     1    11
 -3.0807268030819919E+00 a        37     0     2     1    12
  8.1517881358537403E-01 a        38     0     2     1    13
  1.0465274333894639E+00 a        39     0     2     1    14
  3.0055369789336734E+00 a        40     0     2     1    15
  9.2744045949027143E-01 a        41     0     2     1    16
  2.0701257632180234E+00 a        42     0     2     1    17
 -3.0222468165742709E+00 a        43     0     2     1    18
 -8.1738930162376111E-01 a        44     0     2     1    19
 -2.1203276931553758E+00 a        45     0     2     1    20
 -5.5811820397495182E-01 a        46     0     2     1    21
 -5.5061753513349332E-01 a        47     0     2     1    22
  3.2360328927715343E+00 a        48     0     2     1    23
  5.7839457615049950E-01 a        49     0     2     1    24
  7.9254774620528878E-01 a        50     0     2     1    25
 -2.5089513752890696E-01 a        51     0     3     1     1
  6.7436940364165110E-01 a        52     0     3     1     2
 -4.2511355427038194E-01 a        53     0     3     1     3
 -4.0710972702324172E-01 a        54     0     3     1     4
 -1.9051555313701298E+00 a        55     0     3     1     5
 -4.7610873005253007E-01 a        56     0     3     1     6
 -2.1763044305300037E+00 a        57     0     3     1     7
 -8.7078684162977193E-01 a        58     0     3     1     8
  4.4226604765941929E-01 a        59     0     3     1     9
 -1.9182678797843478E+00 a        60     0     3     1    10
  1.0354276257706914E-02 a        61     0     3     1    11
  3.2313829678171038E+00 a        62     0     3     1    12
  7.3646157188802397E-01 a        63     0     3     1    13
  3.1806418412541759E-01 a        64     0     3     1    14
 -1.0738171884161469E+00 a        65     0     3     1    15
 -1.0465382382905517E+00 a        66     0     3     1    16
 -6.6681125565857902E-01 a        67     0     3     1    17
 -5.2018665447045009E-01 a        68     0     3     1    18
  1.1663544458366555E+00 a        69     0     3     1    19
 -9.7592788991230295E-01 a        70     0     3     1    20
 -3.3889783894516079E-01 a        71     0     3     1    21
 -2.3342405042461896E+00 a        72     0     3     1    22
  1.7364194836982894E-01 a        73     0     3     1    23
  1.6487236649199506E+00 a        74     0     3     1    24
 -1.5536243061407857E+00 a        75     0     3     1    25
  7.1569821798510280E-01 a        76     0     4     1     1
  5.0964476852346763E-01 a        77     0     4     1     2
 -1.1389217003948890E+00 a        78     0     4     1     3
  3.8370784833949378E-01 a        79     0     4     1     4
 -1.1293687402489890E-01 a        80     0     4     1     5
  5.4539624039245593E-01 a        81     0     4     1     6
 -3.2736465985175855E-01 a        82     0     4     1     7
 -4.2197580253674866E-01 a        83     0     4     1     8
 -1.8924485824589483E+00 a        84     0     4     1     9
  2.1642671348121345E+00 a        85     0     4     1    10
 -5.3943824414484143E-01 a        86     0     4     1    11
