################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.4212528115623686E+00 a         1     0     1     1     1
 -6.8174847072828604E-01 a         2     0     1     1     2
 -5.1129191074946545E-01 a         3     0     1     1     3
 -1.9668495685111040E-01 a         4     0     1     1     4
  3.9842525312364174E-01 a         5     0     1     1     5
  2.7153711836134811E+00 a         6     0     1     1     6
  1.0783436680029270E+00 a         7     0     1     1     7
  9.4936280830934333E-02 a         8     0     1     1     8
 -1.6058052186209801E+00 a         9     0     1     1     9
 -4.0124881195745060E-01 a        10     0     1     1    10
 -1.1978764371387474E+00 a        11     0     1     1    11
 -1.3183237470468270E+00 a        12     0     1     1    12
 -1.7058692784792098E+00 a        13     0     1     1    13
 -9.9087780436173900E-01 a        14     0     1     1    14
  5.0566178194215772E-01 a        15     0     1     1    15
 -1.5853418699872376E-02 a        16     0     1     1    16
  6.8039759032585356E-02 a        17     0     1     1    17
  9.9578078702753070E-01 a        18     0     1     1    18
  6.2868251502110639E-01 a        19     0     1     1    19
 -1.1703774390065660E+00 a        20     0     1     1    20
  1.6538829728930569E+00 a        21     0     1     1    21
  1.0219475938106084E+00 a        22     0     1     1    22
  3.3889725569695994E-01 a        23     0     1     1    23
  5.1357771882398373E-02 a        24     0     1     1    24
  1.2180544079773057E+00 a        25     0     1     1    25
  1.8298710284911590E+00 a        26     0     2     1     1
  7.4838051633217872E-01 a        27     0     2     1     2
 -1.7464325424735339E+00 a        28     0     2     1     3
  7.5348872897140040E-02 a        29     0     2     1     4
 -7.2384142004729424E-01 a        30     0     2     1     5
  1.0483546571493313E-01 a        31     0     2     1     6
  1.2604313767182138E+00 a        32     0     2     1     7
 -6.4318837396805884E-01 a        33     0     2     1     8
 -1.0992405890790105E+00 a        34     0     2     1     9
 -1.7842574197735139E+00 a        35     0     2     1    10
  1.1996979895333755E+00 a        36     0     2     1    11
 -1.4466630298416157E+00 a        37     0     2     1    12
  5.4867030959031915E-01 a        38     0     2     1    13
  1.0295026597952890E+00 a        39     0     2     1    14
  1.3816435568256917E+00 a        40     0     2     1    15
  1.1284863867559938E+00 a        41     0     2     1    16
  1.1008835368582495E+00 a        42     0     2     1    17
 -2.7858802245582761E+00 a        43     0     2     1    18
 -1.0986099727659251E+00 a        44     0     2     1    19
 -2.2818059886695319E+00 a        45     0     2     1    20
 -8.1709832659691084E-01 a        46     0     2     1    21
 -8.7580448920172826E-01 a        47     0     2     1    22
  2.1772691674455373E+00 a        48     0     2     1    23
 -2.4039975731870589E-01 a        49     0     2     1    24
  7.2391764433899841E-01 a        50     0     2     1    25
 -3.4804572539362984E-02 a        51     0     3     1     1
  6.3269281572669023E-01 a        52     0     3     1     2
 -3.8901268236366643E-01 a        53     0     3     1     3
 -3.2522251323191903E-01 a        54     0     3     1     4
 -1.2456719253181145E+00 a        55     0     3     1     5
 -1.2384540403176557E-01 a        56     0     3     1     6
 -1.4180238614337526E+00 a        57     0     3     1     7
 -2.7264141354772364E-01 a        58     0     3     1     8
  7.4806708021868762E-01 a        59     0     3     1     9
 -1.0793961999938921E+00 a        60     0     3     1    10
  3.0845894866470563E-01 a        61     0     3     1    11
  1.6778387062784834E+00 a        62     0     3     1    12
  1.6704247934428171E-01 a        63     0     3     1    13
  1.7710174608323448E-01 a        64     0     3     1    14
 -6.6766100557992747E-01 a        65     0     3     1    15
 -7.2015826727076515E-01 a        66     0     3     1    16
 -1.2088634503984171E-01 a        67     0     3     1    17
 -2.7685126639496022E-01 a        68     0     3     1    18
  9.9661257704006578E-01 a        69     0     3     1    19
 -7.0089166531886504E-01 a        70     0     3     1    20
  3.4881997614752697E-01 a        71     0     3     1    21
 -1.6817105443715341E+00 a        72     0     3     1    22
  1.1777033203756479E-01 a        73     0     3     1    23
  1.0753102349734349E+00 a        74     0     3     1    24
 -8.1059856624514892E-01 a        75     0     3     1    25
  3.9550568505534650E-01 a        76     0     4     1     1
  1.0432045823980582E+00 a        77     0     4     1     2
 -6.7617267685710647E-01 a        78     0     4     1     3
  5.2913970328690263E-01 a        79     0     4     1     4
  3.1967569384153655E-01 a        80     0     4     1     5
  5.5421823806277459E-01 a        81     0     4     1     6
  7.3560706710871637E-01 a        82     0     4     1     7
 -3.0769910172418091E-01 a        83     0     4     1     8
 -1.4729788737249603E+00 a        84     0     4     1     9
  1.7844403386387790E+00 a        85     0     4     1    10
 -1.5010290305800308E-01 a        86     0     4     1    11
