################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8826520776716269E+00 a         1     0     1     1     1
  3.8440468710174408E-01 a         2     0     1     1     2
  2.1745033313825701E-01 a         3     0     1     1     3
 -1.5566814279717844E+00 a         4     0     1     1     4
  1.2164153078410633E+00 a         5     0     1     1     5
 -2.8404356115944568E-01 a         6     0     1     1     6
 -4.1215529071779056E-01 a         7     0     1     1     7
 -1.1149101009254772E+00 a         8     0     1     1     8
 -1.7597503930405951E+00 a         9     0     1     1     9
 -3.7742056310980238E-02 a        10     0     1     1    10
  1.3435318248464871E+00 a        11     0     1     1    11
 -5.4045025801961344E-01 a        12     0     1     1    12
 -8.8786184624091424E-01 a        13     0     1     1    13
  3.7535774192914756E-01 a        14     0     1     1    14
 -1.2554795210078697E+00 a        15     0     1     1    15
  1.0389192341068765E+00 a        16     0     1     1    16
 -1.4901798575393346E+00 a        17     0     1     1    17
 -4.6364467237855028E-01 a        18     0     1     1    18
  1.4081643569873454E+00 a        19     0     1     1    19
  2.6390374370652321E+00 a        20     0     1     1    20
 -1.0807528521274572E+00 a        21     0     1     1    21
 -1.2556763888896172E+00 a        22     0     1     1    22
  1.3902674367180978E+00 a        23     0     1     1    23
 -1.0455458115568079E+00 a        24     0     1     1    24
 -8.1255862220965402E-01 a        25     0     1     1    25
  4.8770576050881753E-01 a        26     0     2     1     1
 -2.9285047028867434E-01 a        27     0     2     1     2
 -2.3836686653656147E+00 a        28     0     2     1     3
 -5.3795973707494960E-01 a        29     0     2     1     4
 -6.5414565858488677E-02 a        30     0     2     1     5
 -1.5855457730660875E-02 a        31     0     2     1     6
 -6.5488687520764199E-01 a        32     0     2     1     7
 -1.2475110680008097E-01 a        33     0     2     1     8
  4.6558327760260249E-01 a        34     0     2     1     9
  9.7228542520592975E-01 a        35     0     2     1    10
  2.0348118623968356E+00 a        36     0     2     1    11
  1.3721194094516764E+00 a        37     0     2     1    12
 -1.0479175224318356E-01 a        38     0     2     1    13
  5.9121811457931994E-01 a        39     0     2     1    14
  4.1337595249763330E+00 a        40     0     2     1    15
  1.3977548563312829E+00 a        41     0     2     1    16
 -3.8888226727413339E-01 a        42     0     2     1    17
  2.0776916360818536E+00 a        43     0     2     1    18
  1.8002945183534600E+00 a        44     0     2     1    19
  5.7014125785376757E-01 a        45     0     2     1    20
 -3.4931852867327340E-01 a        46     0     2     1    21
  9.0312604044187428E-01 a        47     0     2     1    22
  4.8625925962077948E-01 a        48     0     2     1    23
 -1.4012883369329916E+00 a        49     0     2     1    24
  5.0883891517480540E-01 a        50     0     2     1    25
  6.3033659123490327E-01 a        51     0     3     1     1
 -5.0537119234655833E-03 a        52     0     3     1     2
 -4.4316153273947184E-01 a        53     0     3     1     3
  7.1973287945854628E-02 a        54     0     3     1     4
  1.8225266380644499E-02 a        55     0     3     1     5
  1.0038616755490968E+00 a        56     0     3     1     6
 -1.4369028074202257E+00 a        57     0     3     1     7
  3.1811966317414914E-01 a        58     0     3     1     8
 -3.9376937309711577E-02 a        59     0     3     1     9
  2.9394903043780585E-01 a        60     0     3     1    10
 -1.0702989211092875E+00 a        61     0     3     1    11
 -1.3516015711802654E-01 a        62     0     3     1    12
  5.9157934153711389E-01 a        63     0     3     1    13
 -1.2877449239967913E+00 a        64     0     3     1    14
 -3.6224052544424218E-01 a        65     0     3     1    15
 -5.7991560572216910E-02 a        66     0     3     1    16
  1.9615559562287402E-01 a        67     0     3     1    17
 -2.3471662434409266E-01 a        68     0     3     1    18
  9.9190130935806498E-01 a        69     0     3     1    19
 -4.2436709346437590E-01 a        70     0     3     1    20
 -1.0969371406518644E+00 a        71     0     3     1    21
 -2.5856030543927186E+00 a        72     0     3     1    22
  4.0315474609275859E-01 a        73     0     3     1    23
 -4.0639868748718194E-01 a        74     0     3     1    24
 -6.0894246019781684E-01 a        75     0     3     1    25
 -1.8411164304495353E-01 a        76     0     4     1     1
 -3.5750404955051907E-01 a        77     0     4     1     2
  1.1644926074703003E-01 a        78     0     4     1     3
  8.0850658743331094E-01 a        79     0     4     1     4
 -1.4831571418900076E+00 a        80     0     4     1     5
  1.3210207354321976E-01 a        81     0     4     1     6
  6.6619193678213717E-01 a        82     0     4     1     7
 -9.0456286694266919E-02 a        83     0     4     1     8
 -3.2609561936153986E-01 a        84     0     4     1     9
 -6.3873763587102872E-01 a        85     0     4     1    10
 -6.8898304849647807E-01 a        86     0     4     1    11
  2.3769302282474772E-01 a        87     0     4     1    12
 -2.4850871008478842E-01 a        88     0     4     1    13
  9.2464338533598978E-01 a        89     0     4     1    14
 -7.8176062796435386E-01 a        90     0     4     1    15
 -8.6426742990299832E-01 a        91     0     4     1    16
  1.1562360636874972E-01 a        92     0     4     1    17
 -8.1326423905081402E-01 a        93     0     4     1    18
 -3.2577324433133936E-01 a        94     0     4     1    19
  5.3979869231637345E-01 a        95     0     4     1    20
 -2.6621917522707189E-01 a        96     0     4     1    21
