################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.5072092196616255E-01 a         1     0     1     1     1
  9.6138241260741830E-01 a         2     0     1     1     2
  4.6001850944739020E-01 a         3     0     1     1     3
  3.1918197452683117E-01 a         4     0     1     1     4
  2.8603700846441632E-01 a         5     0     1     1     5
  9.1571057052641247E-01 a         6     0     1     1     6
  4.6331035116641744E-01 a         7     0     1     1     7
 -6.5318787425366169E-03 a         8     0     1     1     8
  8.9273838790935511E-01 a         9     0     1     1     9
 -1.1668691666859290E+00 a        10     0     1     1    10
  1.1820233756589106E-01 a        11     0     1     1    11
  3.2043305692935793E-02 a        12     0     1     1    12
  9.8058371059367100E-01 a        13     0     1     1    13
  2.0068804517899590E+00 a        14     0     1     1    14
  1.9249276218976386E+00 a        15     0     1     1    15
 -1.3279110118719082E+00 a        16     0     1     1    16
 -6.4832714406925762E-01 a        17     0     1     1    17
 -6.7302336503646631E-01 a        18     0     1     1    18
  1.6139528315757709E-01 a        19     0     1     1    19
  2.1705863028127806E-01 a        20     0     1     1    20
 -9.2861155753861571E-02 a        21     0     1     1    21
  4.6726501296441386E-01 a        22     0     1     1    22
 -9.8463177117609668E-01 a        23     0     1     1    23
  6.6727136655109298E-01 a        24     0     1     1    24
 -9.3947074655935270E-01 a        25     0     1     1    25
 -3.0095934351029885E-01 a        26     0     2     1     1
 -4.7120569190434380E-01 a        27     0     2     1     2
 -6.9617297766657193E-01 a        28     0     2     1     3
 -1.3467287911041577E+00 a        29     0     2     1     4
 -3.0922760469979860E-01 a        30     0     2     1     5
 -1.1090452133987090E+00 a        31     0     2     1     6
 -6.9053666921688261E-01 a        32     0     2     1     7
  8.9151040402902382E-01 a        33     0     2     1     8
 -1.5248713875134484E-01 a        34     0     2     1     9
  6.0028689083207809E-01 a        35     0     2     1    10
 -3.0507082576844841E-01 a        36     0     2     1    11
 -4.5758696579354802E-01 a        37     0     2     1    12
 -1.4392223767296708E+00 a        38     0     2     1    13
 -2.1758628849576001E+00 a        39     0     2     1    14
 -2.2086419275846634E+00 a        40     0     2     1    15
  1.7373987297228308E+00 a        41     0     2     1    16
  1.0712501405671482E+00 a        42     0     2     1    17
  3.7029578966636617E-01 a        43     0     2     1    18
  2.0069853592860082E-01 a        44     0     2     1    19
  1.1776289907525082E+00 a        45     0     2     1    20
 -3.8132297167879736E-01 a        46     0     2     1    21
 -1.5265430729000187E+00 a        47     0     2     1    22
  1.0291334154508227E+00 a        48     0     2     1    23
 -1.2322789474029814E+00 a        49     0     2     1    24
  2.9194788193151768E+00 a        50     0     2     1    25
 -8.2632786247420986E-01 a        51     0     3     1     1
  8.7827252082395912E-01 a        52     0     3     1     2
  1.1582047687567116E+00 a        53     0     3     1     3
  4.4211492620026015E-02 a        54     0     3     1     4
 -2.2441244052464288E-01 a        55     0     3     1     5
 -2.8183407605452593E-01 a        56     0     3     1     6
 -7.7039672256873148E-01 a        57     0     3     1     7
 -3.9321716650725519E-01 a        58     0     3     1     8
 -3.3647794838073466E-02 a        59     0     3     1     9
  6.1517482211434782E-01 a        60     0     3     1    10
  7.2894104319369923E-01 a        61     0     3     1    11
  9.9095494322743033E-02 a        62     0     3     1    12
  1.6527671182486643E+00 a        63     0     3     1    13
 -9.1934302254620870E-01 a        64     0     3     1    14
 -1.2455939873712301E+00 a        65     0     3     1    15
 -4.6455512752576122E-01 a        66     0     3     1    16
 -3.0910781443395019E-01 a        67     0     3     1    17
 -8.1165131757001230E-01 a        68     0     3     1    18
 -2.5207209249832091E-01 a        69     0     3     1    19
 -1.8372321620891785E-01 a        70     0     3     1    20
  1.1443071007634198E+00 a        71     0     3     1    21
  5.5290854442237081E-01 a        72     0     3     1    22
 -9.3403017491591012E-01 a        73     0     3     1    23
 -6.3299253965461588E-01 a        74     0     3     1    24
 -4.0460264542621449E-01 a        75     0     3     1    25
  9.1720181439505477E-01 a        76     0     4     1     1
  1.1419672671971641E+00 a        77     0     4     1     2
  4.2710205040572263E-01 a        78     0     4     1     3
 -3.5203173916469066E-01 a        79     0     4     1     4
 -7.7234701333823619E-01 a        80     0     4     1     5
  1.1491207341430246E-01 a        81     0     4     1     6
 -2.4810500139872455E-01 a        82     0     4     1     7
 -1.2213508342571953E+00 a        83     0     4     1     8
  1.7530090654582819E-01 a        84     0     4     1     9
  5.3893612012460601E-01 a        85     0     4     1    10
 -6.6377828585649734E-01 a        86     0     4     1    11
  6.5674119400819886E-01 a        87     0     4     1    12
  1.0615751660492674E+00 a        88     0     4     1    13
 -9.0272192155384456E-01 a        89     0     4     1    14
  4.8228161900373989E-01 a        90     0     4     1    15
 -3.0331314271046594E-01 a        91     0     4     1    16
  9.6723214364132254E-02 a        92     0     4     1    17
  1.4891537483845974E-01 a        93     0     4     1    18
  1.9529405728355193E-01 a        94     0     4     1    19
  5.4953451717353208E-01 a        95     0     4     1    20
  7.8775884133612406E-01 a        96     0     4     1    21
  4.3151599418637371E-01 a        97     0     4     1    22
 -6.2082927250404163E-01 a        98     0     4     1    23
 -9.9553379807500741E-01 a        99     0     4     1    24
 -5.1155302902762834E-01 a       100     0     4     1    25
 -6.6820128535044343E-01 a       101     0     5     1     1
 -4.1281792603049361E-01 a       102     0     5     1     2
 -7.4625388359929566E-03 a       103     0     5     1     3
 -5.7008625593875273E-01 a       104     0     5     1     4
  1.7366447529485528E-02 a       105     0     5     1     5
  6.3959872295605324E-01 a       106     0     5     1     6
  4.8947718733406637E-01 a       107     0     5     1     7
  1.0629708757067904E+00 a       108     0     5     1     8
  9.9307788643753073E-02 a       109     0     5     1     9
 -2.8277480598753527E-02 a       110     0     5     1    10
  1.8029776749473372E-01 a       111     0     5     1    11
 -3.8934356729723663E-01 a       112     0     5     1    12
 -3.1415816702693661E-01 a       113     0     5     1    13
 -9.0254458450476430E-02 a       114     0     5     1    14
 -1.4936531489235186E-01 a       115     0     5     1    15
  1.3480266441754984E-01 a       116     0     5     1    16
  8.2560056798313208E-01 a       117     0     5     1    17
  5.6979818196817224E-02 a       118     0     5     1    18
 -3.5493136150615279E-01 a       119     0     5     1    19
  4.3347961394433399E-01 a       120     0     5     1    20
  1.9942955445801425E-01 a       121     0     5     1    21
  2.0314693683999012E-02 a       122     0     5     1    22
  4.3624575148527439E-01 a       123     0     5     1    23
 -6.1112194398127884E-01 a       124     0     5     1    24
 -2.5979965712925762E-01 a       125     0     5     1    25
  1.2402180810672856E+00 a       126     0     6     1     1
 -2.6332085357945405E+00 a       127     0     6     1     2
 -4.7547591413047513E-01 a       128     0     6     1     3
 -5.9228633236521677E-01 a       129     0     6     1     4
  8.2679076135909058E-01 a       130     0     6     1     5
  1.3155409051761842E+00 a       131     0     6     1     6
  1.6027590707663215E+00 a       132     0     6     1     7
  7.2850174768372178E-01 a       133     0     6     1     8
  2.6814865151439182E-01 a       134     0     6     1     9
 -7.9537069412075923E-01 a       135     0     6     1    10
 -1.0854036293126654E+00 a       136     0     6     1    11
  1.7387420311684090E+00 a       137     0     6     1    12
 -1.8309286171468768E+00 a       138     0     6     1    13
  3.5805860895426793E+00 a       139     0     6     1    14
  3.9051014346550530E+00 a       140     0     6     1    15
  3.6840018488339882E-01 a       141     0     6     1    16
 -6.1057990875645163E-01 a       142     0     6     1    17
  9.6891297939435372E-01 a       143     0     6     1    18
  3.9440695864565521E-02 a       144     0     6     1    19
  2.4506412323978938E-01 a       145     0     6     1    20
 -1.5980419593206132E+00 a       146     0     6     1    21
 -1.7482289458948514E+00 a       147     0     6     1    22
  1.6182753998877222E+00 a       148     0     6     1    23
  1.2246848424191246E+00 a       149     0     6     1    24
  4.7193636907808650E-01 a       150     0     6     1    25
 -6.5393866437488701E-01 a       151     0     7     1     1
  9.0264516270897419E-02 a       152     0     7     1     2
 -1.0901261274461056E+00 a       153     0     7     1     3
  6.8449756151722352E-01 a       154     0     7     1     4
  8.7928680565514716E-01 a       155     0     7     1     5
  8.9368543396267985E-01 a       156     0     7     1     6
 -8.0057223661824439E-01 a       157     0     7     1     7
  5.8789307504146249E-01 a       158     0     7     1     8
  7.2508191169635028E-01 a       159     0     7     1     9
 -4.5324361203431435E-01 a       160     0     7     1    10
  7.6961275706812649E-01 a       161     0     7     1    11
 -6.7341221113117555E-01 a       162     0     7     1    12
  3.5631610708927817E-03 a       163     0     7     1    13
  1.8379937607639780E+00 a       164     0     7     1    14
  6.2014332446983539E-02 a       165     0     7     1    15
  1.4378138531281875E-01 a       166     0     7     1    16
  2.6011002254214022E-01 a       167     0     7     1    17
 -7.2179186568157505E-01 a       168     0     7     1    18
  2.5092336942948573E-01 a       169     0     7     1    19
 -7.5423245166313446E-01 a       170     0     7     1    20
 -1.7102597308678675E+00 a       171     0     7     1    21
 -9.6050431938964731E-02 a       172     0     7     1    22
  9.0072455598260792E-01 a       173     0     7     1    23
  2.1158133107691350E+00 a       174     0     7     1    24
  1.5143791140870670E+00 a       175     0     7     1    25
 -6.3271977843873284E-01 a       176     0     8     1     1
  1.9693986767735858E+00 a       177     0     8     1     2
 -4.2192806792017201E-01 a       178     0     8     1     3
  7.3680858213750489E-01 a       179     0     8     1     4
  4.8219852452130500E-02 a       180     0     8     1     5
 -1.7083199678021270E+00 a       181     0     8     1     6
 -5.1286712201560247E-01 a       182     0     8     1     7
  3.2257231904935646E-01 a       183     0     8     1     8
 -6.8438313404781181E-01 a       184     0     8     1     9
  1.3883667262226953E+00 a       185     0     8     1    10
  3.6267508507347718E-01 a       186     0     8     1    11
 -1.8355258491786702E-01 a       187     0     8     1    12
 -2.6553926537002837E-01 a       188     0     8     1    13
 -4.0637688889882817E+00 a       189     0     8     1    14
 -5.6300759314381228E+00 a       190     0     8     1    15
 -4.0176207542012055E-01 a       191     0     8     1    16
  8.9171560148397022E-01 a       192     0     8     1    17
  7.6166724636391103E-01 a       193     0     8     1    18
  1.5276019702363003E-01 a       194     0     8     1    19
  4.6244145877526385E-02 a       195     0     8     1    20
  2.4909157525783993E-01 a       196     0     8     1    21
  1.1481241210844362E+00 a       197     0     8     1    22
 -2.9217472455188215E-01 a       198     0     8     1    23
 -8.7824913905729207E-01 a       199     0     8     1    24
 -1.9273742807436683E-01 a       200     0     8     1    25
 -6.1301907529919786E-01 a       201     0     9     1     1
 -9.1710859766988162E-01 a       202     0     9     1     2
  8.8669108924412776E-01 a       203     0     9     1     3
 -6.6068982298132706E-01 a       204     0     9     1     4
  1.2058756474129958E-02 a       205     0     9     1     5
  6.0858226479500066E-01 a       206     0     9     1     6
  6.2561623930665633E-01 a       207     0     9     1     7
  8.0014392748051411E-01 a       208     0     9     1     8
  6.3514679840556532E-02 a       209     0     9     1     9
 -4.2435127059543554E-02 a       210     0     9     1    10
  7.7094366631263234E-02 a       211     0     9     1    11
  6.1361871249031211E-02 a       212     0     9     1    12
 -4.2132719892741144E-01 a       213     0     9     1    13
 -2.7811311129274285E-01 a       214     0     9     1    14
 -6.3434297886017599E-01 a       215     0     9     1    15
  1.1392117943211686E+00 a       216     0     9     1    16
 -7.3188391013168874E-01 a       217     0     9     1    17
 -7.5136750297392974E-01 a       218     0     9     1    18
  3.7723666144551377E-01 a       219     0     9     1    19
  5.4017544717211496E-01 a       220     0     9     1    20
  1.0285927132377597E+00 a       221     0     9     1    21
 -3.7487515324791965E-01 a       222     0     9     1    22
 -1.1063326608105659E+00 a       223     0     9     1    23
  4.1321841115081498E-01 a       224     0     9     1    24
  8.3664432043780004E-02 a       225     0     9     1    25
  8.6814250595698805E-01 a       226     0    10     1     1
 -1.1584735575209335E+00 a       227     0    10     1     2
  2.9712169333498067E-01 a       228     0    10     1     3
  8.6986421116209223E-01 a       229     0    10     1     4
