################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.8935442622548276E-02 a         1     0     1     1     1
  3.0144839758140290E-01 a         2     0     1     1     2
  3.3155381433881748E-01 a         3     0     1     1     3
  5.1740743294847424E-01 a         4     0     1     1     4
 -4.0196740651983931E-01 a         5     0     1     1     5
 -1.1524092721185326E+00 a         6     0     1     1     6
 -8.2563308003144570E-02 a         7     0     1     1     7
 -3.2322126430379633E-01 a         8     0     1     1     8
 -4.6909243315723423E-02 a         9     0     1     1     9
  1.2283575205019488E+00 a        10     0     1     1    10
 -9.9403965129913718E-01 a        11     0     1     1    11
 -1.0690535228463161E+00 a        12     0     1     1    12
  1.6365834484735978E-01 a        13     0     1     1    13
 -4.6837585635622930E-01 a        14     0     1     1    14
 -5.4558222201222406E-01 a        15     0     1     1    15
  6.3801696908784733E-01 a        16     0     1     1    16
 -4.9621182292930405E-01 a        17     0     1     1    17
 -1.1334954887215420E+00 a        18     0     1     1    18
 -1.0261382445468479E+00 a        19     0     1     1    19
  7.2021408869108383E-01 a        20     0     1     1    20
  6.8522439604569718E-01 a        21     0     1     1    21
 -1.3036693099306880E+00 a        22     0     1     1    22
  2.2507810243079168E-02 a        23     0     1     1    23
 -3.1801755471577364E-01 a        24     0     1     1    24
 -4.7650055370101707E-01 a        25     0     1     1    25
  7.6746362206182850E-01 a        26     0     2     1     1
 -1.0596722031548877E+00 a        27     0     2     1     2
 -1.0755925512611502E+00 a        28     0     2     1     3
 -7.1218946617511403E-01 a        29     0     2     1     4
 -1.0539496598701487E-01 a        30     0     2     1     5
 -1.0757102238253349E+00 a        31     0     2     1     6
  6.6329062743287859E-01 a        32     0     2     1     7
 -1.2105155777277459E+00 a        33     0     2     1     8
  7.3050355574258119E-01 a        34     0     2     1     9
 -6.9045180434411102E-01 a        35     0     2     1    10
 -7.8957527996488763E-01 a        36     0     2     1    11
  1.4962540783194225E+00 a        37     0     2     1    12
 -3.8259058296663279E-01 a        38     0     2     1    13
  8.7499848119165613E-01 a        39     0     2     1    14
 -5.4876739158204457E-01 a        40     0     2     1    15
  1.0627321802638161E+00 a        41     0     2     1    16
 -7.2995345638269393E-01 a        42     0     2     1    17
  1.5975842677915689E-01 a        43     0     2     1    18
 -2.5614185073640411E-01 a        44     0     2     1    19
 -3.4294559146558223E-01 a        45     0     2     1    20
 -6.3441235519732950E-02 a        46     0     2     1    21
 -1.0428523456243544E+00 a        47     0     2     1    22
 -5.0351923595091452E-01 a        48     0     2     1    23
  6.8877752216842913E-01 a        49     0     2     1    24
  1.3373980568634775E-01 a        50     0     2     1    25
 -3.0217594697089895E-01 a        51     0     3     1     1
 -5.8307342968080204E-02 a        52     0     3     1     2
 -2.6642088956142013E-01 a        53     0     3     1     3
  5.0866993611305222E-01 a        54     0     3     1     4
 -4.8788467358214394E-01 a        55     0     3     1     5
  3.7615102987108745E-01 a        56     0     3     1     6
 -6.3409718624320932E-02 a        57     0     3     1     7
 -4.5307870979279630E-02 a        58     0     3     1     8
  2.4903281107973774E-01 a        59     0     3     1     9
  5.7047449764003455E-01 a        60     0     3     1    10
  2.7769784019495404E-02 a        61     0     3     1    11
 -7.3508987650470714E-01 a        62     0     3     1    12
 -5.9549747721738999E-01 a        63     0     3     1    13
 -3.0643399509574443E-01 a        64     0     3     1    14
  1.0882396063329347E-01 a        65     0     3     1    15
