################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   4.0634616911393840E-05   3.2009270426450265E-01   1.0922306831164000E-01   6.3345987034271869E-02
         1          2   4.2218793085131817E-01   6.5363213598438652E-01   5.3776057204113625E-01   2.7437394400641770E-02
         1          3   7.9413743474145898E-02   1.5783419202512011E-01   1.0404721709380925E-01   6.1433895831520214E-03
         1          4   9.0120907375349799E-07   1.4540475854102347E-01   4.5255468936589799E-02   2.9556905442386323E-02
         1          5   1.8390445036308778E-05   2.7303519252794117E-01   7.5847580026552994E-02   4.5429377380862286E-02
         1          6   3.5334090934114831E-01   5.4732521006136559E-01   4.4404501549938141E-01   2.2018376488948183E-02
         1          7   3.9876597032050902E-07   1.0428492066321264E-01   2.9566394399437729E-02   1.9381310727175204E-02
         1          8   4.0044237972553414E-06   2.0467724871696938E-01   3.8491236499602760E-02   2.4851278669918757E-02
         1          9   2.6956860306134506E-01   4.1515377890075789E-01   3.3280751856108626E-01   1.6117083348581654E-02
         1         10   4.7404618469172629E-07   1.3962980328666189E-01   1.5590127308916664E-02   1.1515244504739805E-02
         1         11   2.0850436333796435E-01   3.1490921313977316E-01   2.5233704417237141E-01   1.1425420809003566E-02
         1         12   2.7251993555791038E-01   9.5521045307324426E-01   6.9209619726710525E-01   1.8754982390772010E-01
         1         13   1.7555390979701586E+00   2.2548955885024879E+00   2.0094252953454856E+00   8.4171672807426462E-02
         1         14   3.7749601257233650E-01   5.9511719463318957E-01   4.5331681704917454E-01   2.4825010581841583E-02
         1         15   1.7368174144527143E-01   6.4870282399641777E-01   3.6320298674027524E-01   1.2708901549775856E-01
         1         16   1.4378611892228810E-01   7.1843687755314234E-01   4.8158885306076116E-01   1.5894359821690293E-01
         1         17   1.2844702852944438E+00   1.6897625518961563E+00   1.4937502762761510E+00   6.5028683323597611E-02
         1         18   2.7401671095202501E-01   4.4989702097655793E-01   3.3223829908581087E-01   1.9049276216784952E-02
         1         19   9.3155852518969684E-02   4.8618157159185299E-01   2.4758877366418180E-01   1.0280231976168670E-01
         1         20   3.5634564593823873E-02   4.4966258665688991E-01   2.3370283263284633E-01   1.0043100397585224E-01
         1         21   7.2954223895156001E-01   9.9047341657623689E-01   8.7015369622237015E-01   3.7880069408465833E-02
         1         22   1.4279144095932167E-01   2.5591900944511653E-01   1.8059839934660615E-01   1.0508419877117694E-02
         1         23   2.4073956943891233E-02   2.6291888497221794E-01   1.1289397786533951E-01   5.8064548794165394E-02
         1         24   4.6933908441086488E-03   2.8329249734933387E-01   8.9766526388130194E-02   4.7395250562971419E-02
