################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.3270356637777330E-02 a         1     0     1     1     1
 -2.5274319621042085E-01 a         2     0     1     1     2
 -1.8393956317722179E-01 a         3     0     1     1     3
  1.3157271835961340E-01 a         4     0     1     1     4
 -2.0244564831161824E-01 a         5     0     1     1     5
 -1.0771668540707605E-01 a         6     0     1     1     6
 -1.7743241279156488E-01 a         7     0     1     1     7
  3.6594237910179311E-01 a         8     0     1     1     8
 -3.1812128997232331E-01 a         9     0     1     1     9
  2.8000383560203046E-01 a        10     0     1     1    10
  2.7142687620937227E-02 a        11     0     1     1    11
 -2.6968543132662365E-01 a        12     0     1     1    12
 -1.5187602213977244E-02 a        13     0     1     1    13
  9.4845682516414315E-02 a        14     0     1     1    14
 -1.1480277265010644E-01 a        15     0     1     1    15
 -1.3861091341305179E-01 a        16     0     1     1    16
  2.6936540386417224E-01 a        17     0     1     1    17
  3.6024112740273506E-01 a        18     0     1     1    18
 -1.6503566188001498E-01 a        19     0     1     1    19
  5.9591602759163298E-01 a        20     0     1     1    20
 -2.6352114377025232E-01 a        21     0     1     1    21
  1.6518350475318477E-01 a        22     0     1     1    22
 -8.7926678295801808E-02 a        23     0     1     1    23
  1.2472871245699886E-01 a        24     0     1     1    24
 -1.0683212102675163E-01 a        25     0     1     1    25
 -1.1856785850814389E-01 a        26     0     2     1     1
  8.7831227470135498E-02 a        27     0     2     1     2
 -4.6167763492733449E-01 a        28     0     2     1     3
 -2.7138093215897940E-01 a        29     0     2     1     4
  3.5707906641979847E-01 a        30     0     2     1     5
 -2.3354256590482003E-01 a        31     0     2     1     6
  1.7484682801707935E-01 a        32     0     2     1     7
 -4.0801625380560341E-02 a        33     0     2     1     8
  1.8987282428730887E-01 a        34     0     2     1     9
  8.0351481634178074E-02 a        35     0     2     1    10
 -1.4667786333777910E-01 a        36     0     2     1    11
  1.9182752311830659E-02 a        37     0     2     1    12
  3.1441415781700077E-01 a        38     0     2     1    13
  2.7250153744083960E-01 a        39     0     2     1    14
 -7.8044062290440072E-02 a        40     0     2     1    15
 -8.8249383856817340E-03 a        41     0     2     1    16
  7.4380855400210250E-02 a        42     0     2     1    17
  1.5798759102272356E-01 a        43     0     2     1    18
  4.9717336178010918E-01 a        44     0     2     1    19
  1.0219052382769576E-01 a        45     0     2     1    20
 -6.7808972271858592E-01 a        46     0     2     1    21
 -3.4325626895107408E-01 a        47     0     2     1    22
