################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4811783093512337E-01 a         1     0     1     1     1
  6.7028449546963609E-01 a         2     0     1     1     2
  3.3604288733984466E-01 a         3     0     1     1     3
 -2.7249503608213493E-01 a         4     0     1     1     4
 -6.9238117865499060E-01 a         5     0     1     1     5
 -1.0293251062187152E-01 a         6     0     1     1     6
 -4.5664828802715962E-01 a         7     0     1     1     7
 -7.4123450583115424E-01 a         8     0     1     1     8
  7.0206691135358779E-01 a         9     0     1     1     9
 -3.2548907908775092E-02 a        10     0     1     1    10
 -2.9930691655890473E-01 a        11     0     1     1    11
  8.6775896865936253E-01 a        12     0     1     1    12
 -3.0660882115595461E-01 a        13     0     1     1    13
  3.6772125901011787E-01 a        14     0     1     1    14
  5.9481900880243699E-01 a        15     0     1     1    15
  2.0855388325614333E-02 a        16     0     1     1    16
 -1.2643912907442016E+00 a        17     0     1     1    17
 -7.1552377554134372E-01 a        18     0     1     1    18
  2.1170644233385266E-01 a        19     0     1     1    19
 -1.8369077902254549E-01 a        20     0     1     1    20
  1.4907315460211079E-01 a        21     0     1     1    21
 -7.9527754275154705E-01 a        22     0     1     1    22
  3.9753417632055804E-01 a        23     0     1     1    23
  6.3310095997482174E-01 a        24     0     1     1    24
 -1.1885175560328284E-01 a        25     0     1     1    25
  3.2120515221743628E-01 a        26     0     2     1     1
 -4.5097112476639967E-01 a        27     0     2     1     2
  5.9755565190765336E-01 a        28     0     2     1     3
 -3.4933205109900384E-01 a        29     0     2     1     4
  4.1560436914192456E-01 a        30     0     2     1     5
 -1.9919416082720637E-01 a        31     0     2     1     6
  7.5922683243838074E-01 a        32     0     2     1     7
 -6.8859236989293438E-01 a        33     0     2     1     8
  7.7268767678759220E-01 a        34     0     2     1     9
 -3.5761920239254075E-01 a        35     0     2     1    10
  3.0927218337313273E-01 a        36     0     2     1    11
  7.9739326159224105E-02 a        37     0     2     1    12
 -6.2779226165318369E-01 a        38     0     2     1    13
  2.1153759103325073E-01 a        39     0     2     1    14
 -1.3646008691277791E+00 a        40     0     2     1    15
 -3.8563174923320592E-01 a        41     0     2     1    16
 -9.5009505035703379E-01 a        42     0     2     1    17
 -2.8807712264226432E-01 a        43     0     2     1    18
 -2.5854937053161148E-01 a        44     0     2     1    19
  1.4457935710969302E-01 a        45     0     2     1    20
  3.6728811270450740E-01 a        46     0     2     1    21
 -6.5182191682654700E-01 a        47     0     2     1    22
 -2.6902129227322286E-01 a        48     0     2     1    23
 -1.0706333669311374E-01 a        49     0     2     1    24
 -1.4949691491064148E+00 a        50     0     2     1    25
