################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2041702322137522E-05   3.2009271547696744E-01   1.0919656050319634E-01   6.3335097145100910E-02
         1          2   4.2000812004221005E-01   6.5363216066467755E-01   5.3784194859782808E-01   2.7524458323528445E-02
         1          3   7.8925847932828641E-02   1.6238568410053097E-01   1.0405914339905653E-01   6.1985330870716034E-03
         1          4   0.0000000000000000E+00   1.4852369574564095E-01   4.5290636143337656E-02   2.9595451173175118E-02
         1          5   5.3831554014580694E-06   2.7303520259400160E-01   7.5815887257951617E-02   4.5426611996553040E-02
         1          6   3.4819500678124438E-01   5.4732523089822505E-01   4.4411011365314712E-01   2.2122179312660858E-02
         1          7   0.0000000000000000E+00   1.0609346004278261E-01   2.9594111714629574E-02   1.9409854984944616E-02
         1          8   1.1445812603182011E-06   2.0467725732475217E-01   3.8462284670408090E-02   2.4858207459868151E-02
         1          9   2.6707512847691844E-01   4.1515379189258805E-01   3.3284648836232622E-01   1.6226739550244514E-02
         1         10   1.3101886598990044E-07   1.3962981046453099E-01   1.5572147307923206E-02   1.1527105641270465E-02
         1         11   2.0850436940761682E-01   3.1490922143036099E-01   2.5235340835006226E-01   1.1522480263547047E-02
         1         12   2.7251996498731390E-01   9.6308962755212335E-01   6.9220481680329526E-01   1.8746569677544433E-01
         1         13   1.7408195264760216E+00   2.2436118229424613E+00   2.0096163717324900E+00   8.4104624517124055E-02
         1         14   3.7749602948768107E-01   6.0891611591237149E-01   4.5326590366381059E-01   2.4990920222644361E-02
         1         15   1.7124700364559400E-01   6.4895866438318095E-01   3.6333852022192242E-01   1.2704897564868578E-01
         1         16   1.4253988806863702E-01   7.3203806253423775E-01   4.8166306234744133E-01   1.5887289022804066E-01
         1         17   1.2775009296933180E+00   1.6831887911390180E+00   1.4938921157080574E+00   6.5005422341467459E-02
         1         18   2.7469845392431969E-01   4.5616236630950713E-01   3.3220472856525102E-01   1.9187988105841665E-02
         1         19   9.0418788179273693E-02   4.8633251907233244E-01   2.4768342438105750E-01   1.0279500810773275E-01
         1         20   3.4772026310557543E-02   4.4966260262830154E-01   2.3371656270760457E-01   1.0039109899389781E-01
         1         21   7.2954227338645983E-01   9.9047345647737273E-01   8.7024772413616347E-01   3.7932554905399082E-02
         1         22   1.4358173436719274E-01   2.6156692980598539E-01   1.8059188973593995E-01   1.0594467386118325E-02
         1         23   2.1496549132096185E-02   2.6502171597206353E-01   1.1294411223444684E-01   5.8087638254211801E-02
         1         24   4.6070901559791665E-03   2.8329250837464731E-01   8.9746009702595636E-02   4.7385118456903706E-02
         1         25   3.9954488341012778E-01   5.8331675191113597E-01   4.8951034861229453E-01   2.0965307352072523E-02
         1         26   2.6466714724410678E-03   1.1530019082099914E-01   3.8431713539560625E-02   2.2621771290219441E-02
         1         27   3.4753116188706033E-04   1.7426345830299447E-01   2.8612284501781302E-02   1.8166112294061055E-02
         1         28   2.5420091906537179E-01   3.7987484956187745E-01   3.0753773734168710E-01   1.3375237975837772E-02
         1         29   1.4139005509178862E-01   2.2122131688126820E-01   1.7841596349892946E-01   7.4816858988545525E-03
         1         30   4.8061000097764277E-03   9.9730010752911033E-02   4.1842548515043591E-02   1.9044461315576019E-02
         1         31   4.8061000097764277E-03   9.9730010752911033E-02   4.1842548515043591E-02   1.9044461315576019E-02
         1         32   3.0752307046199218E-02   1.9807365325586038E-01   1.2286433543063974E-01   4.3374347292332097E-02
         1         33   3.0752307046199218E-02   1.9807365325586038E-01   1.2286433543063974E-01   4.3374347292332097E-02
         1         34   1.0708287927258642E-01   1.8823945598094000E-01   1.4361612810238178E-01   1.5695368134562130E-02
         1         35   1.6089064556028675E-02   1.5792964332462292E-01   6.9112368420352760E-02   3.5559291496646266E-02
         1         36   1.6089064556028675E-02   1.5792964332462292E-01   6.9112368420352760E-02   3.5559291496646266E-02
         1         37   2.7137158955366274E-02   1.5854704879716594E-01   9.9658762214795277E-02   3.3695114438396664E-02
         1         38   2.7137158955366274E-02   1.5854704879716594E-01   9.9658762214795277E-02   3.3695114438396664E-02
         1         39   1.4255749356311610E-02   1.2989914697052524E-01   5.9640798600397449E-02   2.9032617570586061E-02
         1         40   1.4255749356311610E-02   1.2989914697052524E-01   5.9640798600397449E-02   2.9032617570586061E-02
         1         41   5.7735584554764508E-06   2.2832905920903715E-01   6.3631038553664587E-02   3.8293103166091164E-02
         1         42   5.7735584554764508E-06   2.2832905920903715E-01   6.3631038553664587E-02   3.8293103166091164E-02
         1         43   4.3821965638014562E-02   2.0445227493831239E-01   1.1836296595142524E-01   1.7854490931391017E-02
         1         44   0.0000000000000000E+00   9.7482117510850494E-02   3.0108569366191461E-02   1.8537482704082297E-02
         1         45   0.0000000000000000E+00   9.7482117510850494E-02   3.0108569366191461E-02   1.8537482704082297E-02
         1         46   7.7155245524946937E-06   1.4361698330373482E-01   5.2681611319260718E-02   3.0237379490813208E-02
         1         47   7.7155245524946937E-06   1.4361698330373482E-01   5.2681611319260718E-02   3.0237379490813208E-02
         1         48   5.1933187867611613E-02   1.3670709349406926E-01   8.7589656126321191E-02   1.2333243351981422E-02
         1         49   0.0000000000000000E+00   8.8420861807060824E-02   1.9618615112098843E-02   1.5112768150424576E-02
         1         50   0.0000000000000000E+00   8.8420861807060824E-02   1.9618615112098843E-02   1.5112768150424576E-02
         1         51   4.1273020758373051E-06   1.7384729462329082E-01   4.1467274929229900E-02   2.6215252721587083E-02
         1         52   4.1273020758373051E-06   1.7384729462329082E-01   4.1467274929229900E-02   2.6215252721587083E-02
         1         53   2.5310475171823551E-02   1.4993519141472203E-01   8.4752843247640902E-02   1.4901802872203947E-02
         1         54   6.0692681728555505E-06   8.9135218717988504E-02   3.0517847694826031E-02   1.7347317705968045E-02
         1         55   6.0692681728555505E-06   8.9135218717988504E-02   3.0517847694826031E-02   1.7347317705968045E-02
         1         56   2.9294881766550138E-07   1.0096761771172275E-01   1.5326272327172480E-02   1.0741122424209918E-02
         1         57   2.9294881766550138E-07   1.0096761771172275E-01   1.5326272327172480E-02   1.0741122424209918E-02
         1         58   2.2704685637859354E-07   8.1958469721040372E-02   1.0375178913407742E-02   8.0230200253765763E-03
         1         59   2.2704685637859354E-07   8.1958469721040372E-02   1.0375178913407742E-02   8.0230200253765763E-03
         1         60   3.4947938199974042E-02   4.5499902822844468E-01   2.5422612590392341E-01   1.0984870460358392E-01
         1         61   5.6365161344487191E-01   1.9778016194947461E+00   1.3822093207973916E+00   3.4942986543044730E-01
         1         62   5.6365161344487191E-01   1.9778016194947461E+00   1.3822093207973916E+00   3.4942986543044730E-01
         1         63   1.0752207759463098E-01   5.5182813176999135E-01   3.1277410401130029E-01   8.9362943826802627E-02
         1         64   1.0752207759463098E-01   5.5182813176999135E-01   3.1277410401130029E-01   8.9362943826802627E-02
         1         65   1.2853608835739613E-01   3.5577992214851628E-01   2.3087210487249141E-01   2.3454218364217527E-02
         1         66   1.2853608835739613E-01   3.5577992214851628E-01   2.3087210487249141E-01   2.3454218364217527E-02
         1         67   1.4295963131545470E+00   2.4967198597496698E+00   1.9743576335650324E+00   1.7069975065733603E-01
         1         68   5.9784954006035473E-01   1.2827807441583972E+00   8.3122790591127738E-01   7.3800607592161643E-02
         1         69   5.9784954006035473E-01   1.2827807441583972E+00   8.3122790591127738E-01   7.3800607592161643E-02
         1         70   3.3106839593132642E-01   1.4506816356091141E+00   7.8577055212488323E-01   2.9649647337620078E-01
         1         71   3.3106839593132642E-01   1.4506816356091141E+00   7.8577055212488323E-01   2.9649647337620078E-01
         1         72   3.4177019155913146E-02   1.6368479768155123E-01   6.5478064940408726E-02   1.2245999024416461E-02
         1         73   9.7926873881515455E-02   3.5878086306564344E-01   2.1171623599512462E-01   6.1086512640100642E-02
         1         74   9.7926873881515455E-02   3.5878086306564344E-01   2.1171623599512462E-01   6.1086512640100642E-02
         1         75   1.1794292251746337E-02   2.0144655914475468E-01   5.8307670930419289E-02   5.4682365685878601E-02
         1         76   3.0244398356809418E-02   3.5421595431261854E-01   1.9648965648421593E-01   8.2368037171525424E-02
         1         77   5.8364875367316327E-01   1.9328373704916755E+00   1.3726523520379488E+00   3.3813290811408775E-01
         1         78   5.8364875367316327E-01   1.9328373704916755E+00   1.3726523520379488E+00   3.3813290811408775E-01
         1         79   1.1457369566811045E-01   4.6938877544173357E-01   3.1295005038637652E-01   8.0766467123926738E-02
         1         80   1.1457369566811045E-01   4.6938877544173357E-01   3.1295005038637652E-01   8.0766467123926738E-02
         1         81   1.2956175525617211E-01   3.2500423056073435E-01   2.2600175399973704E-01   2.2799396062589034E-02
         1         82   1.2956175525617211E-01   3.2500423056073435E-01   2.2600175399973704E-01   2.2799396062589034E-02
         1         83   1.3739001600031149E+00   2.2538119521912150E+00   1.8077811489363196E+00   1.6349875100123742E-01
         1         84   7.7125185424609954E-01   1.3423085605559342E+00   9.9192261057691278E-01   7.3124744894118063E-02
         1         85   7.7125185424609954E-01   1.3423085605559342E+00   9.9192261057691278E-01   7.3124744894118063E-02
         1         86   2.9027603859706103E-01   1.3727061004387200E+00   6.9400721567824020E-01   2.9044712889804120E-01
         1         87   2.9027603859706103E-01   1.3727061004387200E+00   6.9400721567824020E-01   2.9044712889804120E-01
