################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  6.4021174000001768E-01 a         1     0     1     1     1
  1.9814856108882750E-01 a         2     0     1     1     2
 -1.2630166941775881E-01 a         3     0     1     1     3
 -2.7748861956236454E-01 a         4     0     1     1     4
  1.8261468251493060E-01 a         5     0     1     1     5
  5.8523333826590562E-01 a         6     0     1     1     6
  1.1500086386335934E-01 a         7     0     1     1     7
 -6.3893814136841573E-02 a         8     0     1     1     8
 -1.0468370519315606E+00 a         9     0     1     1     9
 -8.9580179868246373E-02 a        10     0     1     1    10
 -3.1780680890933360E-01 a        11     0     1     1    11
  1.6034499149020900E-02 a        12     0     1     1    12
  3.7667935908376549E-01 a        13     0     1     1    13
  3.5097840103863814E-01 a        14     0     1     1    14
 -5.1210199187442085E-01 a        15     0     1     1    15
 -5.8371637302529797E-02 a        16     0     1     1    16
 -4.4158206499285207E-01 a        17     0     1     1    17
 -3.8532659600474578E-01 a        18     0     1     1    18
  1.1458027431399791E-01 a        19     0     1     1    19
  4.9854445761995064E-01 a        20     0     1     1    20
  8.5725567576301320E-01 a        21     0     1     1    21
 -6.9406517110878374E-01 a        22     0     1     1    22
 -3.7801230619650505E-01 a        23     0     1     1    23
  5.9351251607651800E-01 a        24     0     1     1    24
 -3.4024361455786761E-01 a        25     0     1     1    25
  2.2343081098778642E-01 a        26     0     2     1     1
 -5.3080080268908392E-01 a        27     0     2     1     2
 -2.4178295909888090E-01 a        28     0     2     1     3
 -2.8249227653994829E-01 a        29     0     2     1     4
 -1.0446207443823572E+00 a        30     0     2     1     5
 -1.0355846287718075E-02 a        31     0     2     1     6
 -4.5462788999770037E-01 a        32     0     2     1     7
 -1.0233315667546612E-01 a        33     0     2     1     8
  3.1032383602703290E-02 a        34     0     2     1     9
  9.6778274333933412E-01 a        35     0     2     1    10
  1.0112922764131649E+00 a        36     0     2     1    11
 -4.4314922753823469E-02 a        37     0     2     1    12
  2.0545278881240153E-01 a        38     0     2     1    13
