################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.9845552965213631E+00 a         1     0     1     1     1
  1.0062759755065684E+00 a         2     0     1     1     2
  6.4990534703489655E-01 a         3     0     1     1     3
 -1.7215693750261416E+00 a         4     0     1     1     4
 -1.7515676447137953E+00 a         5     0     1     1     5
  4.6475280346034092E-01 a         6     0     1     1     6
 -6.9734151429758329E-01 a         7     0     1     1     7
  2.6916236484766838E+00 a         8     0     1     1     8
 -4.3029777418146736E-01 a         9     0     1     1     9
  7.3286513474636872E-01 a        10     0     1     1    10
  2.4069304555305222E+00 a        11     0     1     1    11
  9.7130609341268215E-02 a        12     0     1     1    12
  5.9391928794386883E-01 a        13     0     1     1    13
  8.5102237900868649E-01 a        14     0     1     1    14
 -3.8766686765868514E+00 a        15     0     1     1    15
 -1.3216275712462586E+00 a        16     0     1     1    16
  6.1848674169794969E-02 a        17     0     1     1    17
 -3.6189511153963605E-01 a        18     0     1     1    18
  1.2573397196138389E+00 a        19     0     1     1    19
  2.0041151963454333E+00 a        20     0     1     1    20
 -2.2494955881917433E-01 a        21     0     1     1    21
 -1.2390777528693611E-01 a        22     0     1     1    22
  2.0063427000680858E+00 a        23     0     1     1    23
  1.5522820111981124E+00 a        24     0     1     1    24
 -8.9370821271483958E-01 a        25     0     1     1    25
 -1.9468951987372833E+00 a        26     0     2     1     1
 -2.2866333958613136E+00 a        27     0     2     1     2
 -1.3743459186064249E-02 a        28     0     2     1     3
  8.5343399681421106E-01 a        29     0     2     1     4
  3.6457976630474698E+00 a        30     0     2     1     5
  5.1002299123252239E+00 a        31     0     2     1     6
  3.1001874127727319E-01 a        32     0     2     1     7
 -3.9869197366429682E-01 a        33     0     2     1     8
 -3.8637103270319293E+00 a        34     0     2     1     9
  1.3479238800472348E+00 a        35     0     2     1    10
  2.7655349259231334E+00 a        36     0     2     1    11
  9.2050591978524821E-01 a        37     0     2     1    12
 -4.3555398784587487E+00 a        38     0     2     1    13
 -3.5473776504774934E-01 a        39     0     2     1    14
 -3.2446065394709622E+00 a        40     0     2     1    15
  1.3428626765973339E+00 a        41     0     2     1    16
  5.1729158993551341E+00 a        42     0     2     1    17
 -1.9489131282831624E+00 a        43     0     2     1    18
 -9.6699507525283790E-01 a        44     0     2     1    19
  4.1395993431180838E+00 a        45     0     2     1    20
  2.2418840259318568E-01 a        46     0     2     1    21
 -3.8943605371034571E+00 a        47     0     2     1    22
  3.6411374422078713E+00 a        48     0     2     1    23
  4.0932789193331365E-01 a        49     0     2     1    24
  1.5246750601060457E+00 a        50     0     2     1    25
 -1.2482171270179525E+00 a        51     0     3     1     1
  1.7749223571438668E+00 a        52     0     3     1     2
  1.0351478862706645E+00 a        53     0     3     1     3
  1.5239438482468106E+00 a        54     0     3     1     4
  1.7448296871781881E+00 a        55     0     3     1     5
 -1.4173969398751434E+00 a        56     0     3     1     6
 -6.2659055293383457E+00 a        57     0     3     1     7
 -1.5466976472479692E+00 a        58     0     3     1     8
  2.6505130951294191E+00 a        59     0     3     1     9
 -1.5032336211727499E+00 a        60     0     3     1    10
 -6.0294347866945464E-01 a        61     0     3     1    11
 -5.5007662808740232E-01 a        62     0     3     1    12
  2.6312557482797581E+00 a        63     0     3     1    13
  1.0537144432900638E+00 a        64     0     3     1    14
  5.8081762531889147E+00 a        65     0     3     1    15
  6.6059329274941836E-01 a        66     0     3     1    16
 -1.4454918111085306E+00 a        67     0     3     1    17
  9.9333580992228787E-01 a        68     0     3     1    18
  4.2151341563186484E-01 a        69     0     3     1    19
  2.0860844377635152E-01 a        70     0     3     1    20
  8.6837908051568058E-01 a        71     0     3     1    21
  1.4142816625163201E+00 a        72     0     3     1    22
  7.3615854509580636E+00 a        73     0     3     1    23
 -6.5394002379866105E+00 a        74     0     3     1    24
  2.5140178709983823E+00 a        75     0     3     1    25
