################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2041702322137522E-05   3.2009271547696744E-01   1.1153332699544401E-01   6.2613809763645528E-02
         1          2   4.2000812004221005E-01   6.5363216066467755E-01   5.3893945827787726E-01   2.7962035154974658E-02
         1          3   7.3203887925499297E-02   1.9182593767425174E-01   1.0583613673513725E-01   9.6631561901142967E-03
         1          4   0.0000000000000000E+00   1.4852369574564095E-01   4.3826786696279409E-02   2.8609057243157342E-02
         1          5   5.3831554014580694E-06   2.7303520259400160E-01   7.7481398158840128E-02   4.4997087240277511E-02
         1          6   3.4819500678124438E-01   5.4732523089822505E-01   4.4538304158406727E-01   2.2344690966287818E-02
         1          7   0.0000000000000000E+00   1.0609346004278261E-01   2.8590936485455246E-02   1.8797068471006703E-02
         1          8   1.1445812603182011E-06   2.0467725732475217E-01   3.9326378954736375E-02   2.4704803380388503E-02
         1          9   2.6707512847691844E-01   4.1515379189258805E-01   3.3397841060605388E-01   1.6233872606990558E-02
         1         10   1.3101886598990044E-07   1.3962981046453099E-01   1.5915545303145467E-02   1.1488237338820801E-02
         1         11   2.0850436940761682E-01   3.1490922143036099E-01   2.5299155302737303E-01   1.1546776352273625E-02
         1         12   2.7251996498731390E-01   9.8789817668074409E-01   6.9523036076807121E-01   1.8554013330961083E-01
         1         13   1.7408195264760216E+00   2.2436118229424613E+00   2.0077012492091750E+00   8.5263319908079602E-02
         1         14   3.6874307470390488E-01   6.7947958051138724E-01   4.5812275448565809E-01   3.5525046684559511E-02
         1         15   1.7124700364559400E-01   6.4895866438318095E-01   3.5801408778108479E-01   1.2339871807363019E-01
         1         16   1.4253988806863702E-01   7.6034306640707727E-01   4.8494103432249591E-01   1.5692447596206655E-01
         1         17   1.2775009296933180E+00   1.6867008790824209E+00   1.4931588705075409E+00   6.5939133427420166E-02
         1         18   2.6230926637266733E-01   5.2283716356377863E-01   3.3635296072884091E-01   2.8054942404644692E-02
         1         19   9.0418788179273693E-02   4.8633251907233244E-01   2.4336115526522464E-01   9.9666565520651590E-02
         1         20   3.4772026310557543E-02   4.6047040501114361E-01   2.3647402017246125E-01   9.9024794665674626E-02
         1         21   7.2954227338645983E-01   1.0069576225385297E+00   8.7080772731025091E-01   3.8589623031025706E-02
         1         22   1.3505132591318283E-01   3.0354967594355670E-01   1.8330992238403485E-01   1.6280560333295606E-02
         1         23   2.1496549132096185E-02   2.6502171597206353E-01   1.1039907769353674E-01   5.6212670948166475E-02
         1         24   4.6070901559791665E-03   2.8329250837464731E-01   9.1284754108272706E-02   4.6829830370618414E-02
         1         25   3.9954488341012778E-01   5.8331675191113597E-01   4.9059076520681077E-01   2.1161568465871049E-02
         1         26   2.6466714724410678E-03   1.1530019082099914E-01   3.7338753551244039E-02   2.1902952513946104E-02
         1         27   3.4753116188706033E-04   1.7426345830299447E-01   2.9197378094287768E-02   1.8036499177324392E-02
         1         28   2.5420091906537179E-01   3.7987484956187745E-01   3.0832477457020485E-01   1.3376567408400921E-02
         1         29   1.4139005509178862E-01   2.2122131688126820E-01   1.7820809478168481E-01   7.5655536082997639E-03
         1         30   4.8061000097764277E-03   9.9730010752911033E-02   4.2382202790103497E-02   1.8672726559518706E-02
         1         31   4.8061000097764277E-03   9.9730010752911033E-02   4.2382202790103497E-02   1.8672726559518706E-02
         1         32   3.0752307046199218E-02   2.1459758470089352E-01   1.2439461022485664E-01   4.2889592634306188E-02
         1         33   3.0752307046199218E-02   2.1459758470089352E-01   1.2439461022485664E-01   4.2889592634306188E-02
         1         34   1.0576185040169166E-01   1.8823945598094000E-01   1.4277354701894002E-01   1.5849108776976123E-02
         1         35   1.6089064556028675E-02   1.5792964332462292E-01   6.7696650410640505E-02   3.4426147468221910E-02
         1         36   1.6089064556028675E-02   1.5792964332462292E-01   6.7696650410640505E-02   3.4426147468221910E-02
         1         37   2.7137158955366274E-02   1.7219433232823744E-01   1.0080715310511106E-01   3.3369032512165678E-02
         1         38   2.7137158955366274E-02   1.7219433232823744E-01   1.0080715310511106E-01   3.3369032512165678E-02
         1         39   1.4255749356311610E-02   1.2989914697052524E-01   5.8462937832700949E-02   2.8137564744730271E-02
         1         40   1.4255749356311610E-02   1.2989914697052524E-01   5.8462937832700949E-02   2.8137564744730271E-02
         1         41   5.7735584554764508E-06   2.2832905920903715E-01   6.4582522999852995E-02   3.7755505657754901E-02
         1         42   5.7735584554764508E-06   2.2832905920903715E-01   6.4582522999852995E-02   3.7755505657754901E-02
         1         43   4.3821965638014562E-02   2.0445227493831239E-01   1.1979146385028802E-01   1.8192630391848385E-02
         1         44   0.0000000000000000E+00   9.7482117510850494E-02   2.9232490443672435E-02   1.8045432904210248E-02
