################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5325863780213866E+00 a         1     0     1     1     1
  8.4637056723250637E-01 a         2     0     1     1     2
 -8.7077120312538636E-01 a         3     0     1     1     3
 -1.3817255275244811E+00 a         4     0     1     1     4
  5.9569937662605177E-01 a         5     0     1     1     5
  8.2078327060252754E-01 a         6     0     1     1     6
  1.2709713725380800E+00 a         7     0     1     1     7
 -1.7663475890098370E+00 a         8     0     1     1     8
 -1.2014907025145398E+00 a         9     0     1     1     9
  1.0111854480614790E+00 a        10     0     1     1    10
 -2.1153973964598389E+00 a        11     0     1     1    11
 -1.6803079811437482E+00 a        12     0     1     1    12
 -4.4393665658931608E-01 a        13     0     1     1    13
  1.3007999439835425E+00 a        14     0     1     1    14
 -3.9196573270921770E-01 a        15     0     1     1    15
  1.5109813863988073E+00 a        16     0     1     1    16
  3.6401212279972728E-01 a        17     0     1     1    17
 -1.5674837451526920E+00 a        18     0     1     1    18
 -3.9777763051075166E-01 a        19     0     1     1    19
  5.6711104169543958E-01 a        20     0     1     1    20
 -4.2367316980999936E-02 a        21     0     1     1    21
 -2.0601428059148136E-01 a        22     0     1     1    22
 -1.0177117333737262E+00 a        23     0     1     1    23
  1.5032191628845328E+00 a        24     0     1     1    24
  7.7142904218465025E-01 a        25     0     1     1    25
  1.6017841637858168E+00 a        26     0     2     1     1
 -2.0777523124770574E+00 a        27     0     2     1     2
 -8.6543204815251984E-01 a        28     0     2     1     3
 -1.1280981984198046E+00 a        29     0     2     1     4
 -2.4546302013875931E+00 a        30     0     2     1     5
  3.5175222655591573E-02 a        31     0     2     1     6
 -1.7751755704973511E+00 a        32     0     2     1     7
  2.2254833417648159E-01 a        33     0     2     1     8
  1.7090616328276806E+00 a        34     0     2     1     9
  2.0475518496347460E+00 a        35     0     2     1    10
  7.1442368686140323E-01 a        36     0     2     1    11
  5.4665349256024198E-01 a        37     0     2     1    12
 -2.1791894267960224E-01 a        38     0     2     1    13
 -1.5358212147994028E+00 a        39     0     2     1    14
 -3.3248259553155197E+00 a        40     0     2     1    15
  1.5969922950843001E+00 a        41     0     2     1    16
  1.8197158987914655E-01 a        42     0     2     1    17
  1.2616651695676682E+00 a        43     0     2     1    18
 -4.9819973132931522E-01 a        44     0     2     1    19
 -6.0400205942273555E-01 a        45     0     2     1    20
 -7.9830252291258119E-01 a        46     0     2     1    21
 -2.6572832222901965E+00 a        47     0     2     1    22
  9.2381539479232708E-02 a        48     0     2     1    23
 -8.7226170389310553E-01 a        49     0     2     1    24
 -4.6583131646859999E-01 a        50     0     2     1    25
 -2.8783964760090741E-01 a        51     0     3     1     1
  3.4046665970024043E-01 a        52     0     3     1     2
  7.0166713160679306E-01 a        53     0     3     1     3
 -2.2772991531297149E-01 a        54     0     3     1     4
 -1.4021264641909192E+00 a        55     0     3     1     5
  1.1865347188842870E+00 a        56     0     3     1     6
  9.4546904904199025E-01 a        57     0     3     1     7
  5.1463546130949467E-01 a        58     0     3     1     8
 -7.6415038507318778E-01 a        59     0     3     1     9
 -2.3116522567747833E+00 a        60     0     3     1    10
 -6.9335284576661854E-02 a        61     0     3     1    11
 -6.6117773690173409E-01 a        62     0     3     1    12
  2.0404387316193307E-02 a        63     0     3     1    13
  9.8405895707257141E-01 a        64     0     3     1    14
  2.4439048815197326E-01 a        65     0     3     1    15
 -4.1007907631211649E-01 a        66     0     3     1    16
 -1.0854362764941135E+00 a        67     0     3     1    17
  1.4282831363570274E+00 a        68     0     3     1    18
  3.8340356302224904E-01 a        69     0     3     1    19
  4.3162159163427033E-01 a        70     0     3     1    20
  1.5170682044865413E+00 a        71     0     3     1    21
  6.7092847696147762E-01 a        72     0     3     1    22
  7.5527625995702785E-01 a        73     0     3     1    23
 -9.6526516464968359E-01 a        74     0     3     1    24
 -1.5338829860183095E-02 a        75     0     3     1    25
 -2.0633939104543259E-01 a        76     0     4     1     1
  1.1701262502488603E+00 a        77     0     4     1     2
 -1.6773116784488690E-01 a        78     0     4     1     3
  3.1791185995474380E-01 a        79     0     4     1     4
 -9.5580566553753876E-01 a        80     0     4     1     5
 -3.1942548317953184E-01 a        81     0     4     1     6
  8.3874187078327311E-01 a        82     0     4     1     7
 -9.5002111130132816E-01 a        83     0     4     1     8
 -4.3098466077808129E-01 a        84     0     4     1     9
  6.3032120345298248E-01 a        85     0     4     1    10
 -1.0953647485685560E+00 a        86     0     4     1    11
  2.5617204653905518E-01 a        87     0     4     1    12
  1.3017525709132951E+00 a        88     0     4     1    13
 -1.1814929578652611E+00 a        89     0     4     1    14
 -2.3034487302104671E+00 a        90     0     4     1    15
 -1.9658997186381300E-01 a        91     0     4     1    16
 -9.9332468389769824E-01 a        92     0     4     1    17
  1.7693473801199983E-01 a        93     0     4     1    18
 -8.6588771207950677E-01 a        94     0     4     1    19
 -5.9142881709948214E-01 a        95     0     4     1    20
  3.1863624459310030E-01 a        96     0     4     1    21
  9.8882043850212331E-01 a        97     0     4     1    22
 -2.0710824455852470E+00 a        98     0     4     1    23
 -1.6205015047621358E+00 a        99     0     4     1    24
  1.4549809629427373E+00 a       100     0     4     1    25
  5.2009912156888360E-01 a       101     0     5     1     1
 -1.0774963046689761E+00 a       102     0     5     1     2
  9.2267051860788385E-01 a       103     0     5     1     3
  9.1423520335614961E-01 a       104     0     5     1     4
 -2.2846410995600619E-01 a       105     0     5     1     5
 -5.9827796592971438E-01 a       106     0     5     1     6
 -2.3779641778098135E+00 a       107     0     5     1     7
  2.7109651658417833E+00 a       108     0     5     1     8
 -2.4157586839323497E-01 a       109     0     5     1     9
 -9.9357985138818372E-01 a       110     0     5     1    10
  4.7315297541985482E+00 a       111     0     5     1    11
  1.1661364130792113E+00 a       112     0     5     1    12
 -7.5410736637486842E-01 a       113     0     5     1    13
 -1.0427073301522949E+00 a       114     0     5     1    14
 -1.3405915611091662E-01 a       115     0     5     1    15
 -9.4109111772606968E-01 a       116     0     5     1    16
 -1.8877362640534583E+00 a       117     0     5     1    17
  1.7518444484869005E+00 a       118     0     5     1    18
  8.0212480056009872E-01 a       119     0     5     1    19
 -3.3383882253074604E-01 a       120     0     5     1    20
 -1.4864759577609188E+00 a       121     0     5     1    21
  1.9644562039693678E+00 a       122     0     5     1    22
  7.1531392417898576E-01 a       123     0     5     1    23
  9.5458617057549733E-01 a       124     0     5     1    24
 -5.5253104871627456E-01 a       125     0     5     1    25
 -7.2579754112085226E-01 a       126     0     6     1     1
  2.1089299716957406E+00 a       127     0     6     1     2
  2.9936428992067526E-01 a       128     0     6     1     3
 -2.9628855561426720E-01 a       129     0     6     1     4
  1.6261603099683024E+00 a       130     0     6     1     5
  2.0332213455952903E+00 a       131     0     6     1     6
  3.4037740991899770E+00 a       132     0     6     1     7
 -2.1879017751681906E-01 a       133     0     6     1     8
 -2.7439956250031750E+00 a       134     0     6     1     9
 -3.1403712928581240E-01 a       135     0     6     1    10
 -3.4078980679545419E+00 a       136     0     6     1    11
 -9.9628388496740661E-01 a       137     0     6     1    12
  2.4518192192484733E-01 a       138     0     6     1    13
  7.9014696221698100E-01 a       139     0     6     1    14
  3.0388681822283683E+00 a       140     0     6     1    15
 -1.4920855378616718E+00 a       141     0     6     1    16
