################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  5.5947712597923938E-01 a         1     0     1     1     1
 -1.1617733989472960E+00 a         2     0     1     1     2
 -1.4649488420907559E+00 a         3     0     1     1     3
 -1.2315778025009485E+00 a         4     0     1     1     4
 -2.3696248183356389E-01 a         5     0     1     1     5
 -4.0165982713230153E-01 a         6     0     1     1     6
 -7.3404241996520803E-01 a         7     0     1     1     7
 -7.8610980054523105E-01 a         8     0     1     1     8
  1.5083805133094355E-01 a         9     0     1     1     9
 -3.8012016350810335E-01 a        10     0     1     1    10
  1.6741836018165519E+00 a        11     0     1     1    11
  6.6753698629834135E-01 a        12     0     1     1    12
  4.8556970905906194E-01 a        13     0     1     1    13
 -1.0876198967549231E+00 a        14     0     1     1    14
  1.9894422106375845E-01 a        15     0     1     1    15
 -1.1712444328939355E+00 a        16     0     1     1    16
 -7.0891692808586793E-01 a        17     0     1     1    17
  1.3249759049526928E+00 a        18     0     1     1    18
 -1.1547648748232784E+00 a        19     0     1     1    19
 -3.5777382817719411E-01 a        20     0     1     1    20
 -2.1988416997529428E-01 a        21     0     1     1    21
  4.4814326967695323E-01 a        22     0     1     1    22
 -1.8746831447633101E+00 a        23     0     1     1    23
 -6.2746528379622760E-02 a        24     0     1     1    24
 -9.9422564834712979E-01 a        25     0     1     1    25
 -1.6487003028383260E-01 a        26     0     2     1     1
 -1.7829733036686188E+00 a        27     0     2     1     2
 -1.5253593713457178E-01 a        28     0     2     1     3
  1.1044237599648075E+00 a        29     0     2     1     4
 -2.0391613910736892E-01 a        30     0     2     1     5
  1.5028200276369630E+00 a        31     0     2     1     6
 -1.2027622258438393E-01 a        32     0     2     1     7
 -1.0730725859612206E-01 a        33     0     2     1     8
  4.7268562663404662E-01 a        34     0     2     1     9
 -1.1720616524304222E+00 a        35     0     2     1    10
  9.7404208953170657E-01 a        36     0     2     1    11
 -8.3083495836431775E-01 a        37     0     2     1    12
  1.2039448844757272E-01 a        38     0     2     1    13
 -4.6730536809381595E-01 a        39     0     2     1    14
 -3.4680414046098063E-02 a        40     0     2     1    15
 -8.3258863869011668E-01 a        41     0     2     1    16
  1.4751301000919708E+00 a        42     0     2     1    17
  2.4112105176901549E-01 a        43     0     2     1    18
  2.0627249665224965E+00 a        44     0     2     1    19
  1.8794585178045520E+00 a        45     0     2     1    20
 -1.2139171885116942E-01 a        46     0     2     1    21
 -3.4766763662103922E-01 a        47     0     2     1    22
 -1.8483450186535337E+00 a        48     0     2     1    23
 -1.9579398861072026E+00 a        49     0     2     1    24
 -6.0455778579943364E-01 a        50     0     2     1    25
 -1.3494332093781509E+00 a        51     0     3     1     1
 -4.2653288605909417E-01 a        52     0     3     1     2
  6.3528223772068237E-01 a        53     0     3     1     3
  2.9816733303004944E-01 a        54     0     3     1     4
 -8.6218196377040113E-01 a        55     0     3     1     5
  3.2190268748560141E-01 a        56     0     3     1     6
 -4.5860294949371036E-03 a        57     0     3     1     7
  1.5193734152934568E+00 a        58     0     3     1     8
  3.2421229345870828E-01 a        59     0     3     1     9
  7.5563294554264393E-01 a        60     0     3     1    10
  5.1140760127606655E-01 a        61     0     3     1    11
  1.1659845528101961E-01 a        62     0     3     1    12
 -3.3555401291841702E-01 a        63     0     3     1    13
  6.6448130026054342E-01 a        64     0     3     1    14
  4.7043611938573826E-01 a        65     0     3     1    15
  7.0739310193708793E-01 a        66     0     3     1    16
 -5.7443669156699975E-02 a        67     0     3     1    17
 -6.2964396903924214E-01 a        68     0     3     1    18
 -5.5198794271770035E-01 a        69     0     3     1    19
 -1.8013883668738637E+00 a        70     0     3     1    20
  9.8670156393430108E-01 a        71     0     3     1    21
 -8.8441246947535679E-01 a        72     0     3     1    22
  9.4921820255523137E-01 a        73     0     3     1    23
  2.9679196375213329E-01 a        74     0     3     1    24
  1.4739102092710490E+00 a        75     0     3     1    25
  9.1313705001638490E-01 a        76     0     4     1     1
  1.9197943375572175E+00 a        77     0     4     1     2
  1.9878927748810431E-02 a        78     0     4     1     3
  1.2072834487075458E-01 a        79     0     4     1     4
  1.4301917377775244E+00 a        80     0     4     1     5
  2.5318093291072585E-01 a        81     0     4     1     6
 -2.5647360225777371E-01 a        82     0     4     1     7
  8.1379338833739479E-01 a        83     0     4     1     8
 -8.2395846527292052E-02 a        84     0     4     1     9
 -4.5827288542106936E-01 a        85     0     4     1    10
 -1.9951285640709715E-01 a        86     0     4     1    11
 -2.2249013278778998E-01 a        87     0     4     1    12
  8.1106363286849370E-01 a        88     0     4     1    13
 -2.4691654391491674E-01 a        89     0     4     1    14
 -7.9895002678103386E-02 a        90     0     4     1    15
  3.5764542232983604E-01 a        91     0     4     1    16
 -1.6407103977155861E+00 a        92     0     4     1    17
 -6.3574386807158767E-01 a        93     0     4     1    18
 -6.7399030529012549E-01 a        94     0     4     1    19
  3.1783118679905747E-01 a        95     0     4     1    20
  8.3844827642850273E-01 a        96     0     4     1    21
  6.7702219774425032E-01 a        97     0     4     1    22
  7.6123394985436091E-02 a        98     0     4     1    23
  1.6458448400171297E-01 a        99     0     4     1    24
 -3.8713267011626140E-01 a       100     0     4     1    25
 -6.5912387243608217E-01 a       101     0     5     1     1
  3.1372014600597675E-01 a       102     0     5     1     2
  2.6992202905649876E+00 a       103     0     5     1     3
 -4.2257528274251488E-01 a       104     0     5     1     4
  1.5542466632555776E-01 a       105     0     5     1     5
  2.5295243703639636E-01 a       106     0     5     1     6
  1.0851553716385387E+00 a       107     0     5     1     7
  9.5705454048265282E-01 a       108     0     5     1     8
  4.5054817635028427E-01 a       109     0     5     1     9
  1.3896415500576373E+00 a       110     0     5     1    10
 -2.5884690223096518E+00 a       111     0     5     1    11
  2.4906388571321347E-01 a       112     0     5     1    12
 -9.1259925032091793E-01 a       113     0     5     1    13
  5.7420254748384980E-01 a       114     0     5     1    14
 -4.5367356816516485E-01 a       115     0     5     1    15
  6.7112675043184189E-01 a       116     0     5     1    16
  1.7101414971193767E-02 a       117     0     5     1    17
 -1.8478611582052185E+00 a       118     0     5     1    18
  5.6482060999884642E-01 a       119     0     5     1    19
  8.3416929583273847E-01 a       120     0     5     1    20
 -2.6411657654263354E-01 a       121     0     5     1    21
 -1.5545942984709638E+00 a       122     0     5     1    22
  4.0656333797859873E-01 a       123     0     5     1    23
 -9.2656780587129406E-01 a       124     0     5     1    24
  1.6347197757689186E-01 a       125     0     5     1    25
  4.1801117581777436E-01 a       126     0     6     1     1
 -9.7505687028242372E-01 a       127     0     6     1     2
 -3.7613363920854446E+00 a       128     0     6     1     3
  3.8533173716212349E-01 a       129     0     6     1     4
  9.9782244971429224E-01 a       130     0     6     1     5
 -2.0172154607319506E+00 a       131     0     6     1     6
 -1.4112575345796290E+00 a       132     0     6     1     7
 -1.5675445150928673E+00 a       133     0     6     1     8
 -1.4587452031737342E+00 a       134     0     6     1     9
 -1.5810093433033359E+00 a       135     0     6     1    10
 -9.2061787555169239E-01 a       136     0     6     1    11
  1.4765105960207479E+00 a       137     0     6     1    12
 -1.9261719414142313E+00 a       138     0     6     1    13
 -6.6755272544647037E-01 a       139     0     6     1    14
 -2.9583811695302697E-01 a       140     0     6     1    15
  9.9761812964759833E-01 a       141     0     6     1    16
 -1.1790349782548324E+00 a       142     0     6     1    17
  5.8307238045472731E-01 a       143     0     6     1    18
 -1.9837238409316422E+00 a       144     0     6     1    19
 -2.4280742475734041E+00 a       145     0     6     1    20
 -1.9711213621880088E+00 a       146     0     6     1    21
 -2.9763446901941443E-01 a       147     0     6     1    22
  3.6737988813745210E+00 a       148     0     6     1    23
  1.3306023772118198E+00 a       149     0     6     1    24
 -3.0720237576241027E-01 a       150     0     6     1    25
 -4.1082967520219715E-01 a       151     0     7     1     1
 -1.1901041486868016E+00 a       152     0     7     1     2
 -9.6360870521042696E-01 a       153     0     7     1     3
 -9.8853748890992443E-01 a       154     0     7     1     4
 -7.5777491712306533E-01 a       155     0     7     1     5
  4.3488170264401632E-01 a       156     0     7     1     6
  1.6792793277010210E-01 a       157     0     7     1     7
 -1.2129091755510095E+00 a       158     0     7     1     8
 -4.7686896857590516E-01 a       159     0     7     1     9
  5.6296603197218098E-01 a       160     0     7     1    10
  8.9743464297081488E-01 a       161     0     7     1    11
 -3.3440480083777735E-01 a       162     0     7     1    12
 -9.9987357421171097E-01 a       163     0     7     1    13
  2.8051254490897715E-01 a       164     0     7     1    14
 -9.8859257275877643E-01 a       165     0     7     1    15
 -3.0638375636126552E-01 a       166     0     7     1    16
  1.1811487280008273E+00 a       167     0     7     1    17
  4.9627961072946392E-01 a       168     0     7     1    18
  1.4979922426974144E+00 a       169     0     7     1    19
 -1.0761125344579607E+00 a       170     0     7     1    20
 -1.0412515341648541E+00 a       171     0     7     1    21
 -3.4330787098836341E-01 a       172     0     7     1    22
 -7.9595834209063998E-01 a       173     0     7     1    23
  2.0196094961936994E-01 a       174     0     7     1    24
  6.5779321311703820E-01 a       175     0     7     1    25
 -1.5574468924247724E+00 a       176     0     8     1     1
  1.0707224430497098E-01 a       177     0     8     1     2
  2.8638235841435589E-01 a       178     0     8     1     3
 -8.0637392906963512E-01 a       179     0     8     1     4
  1.3770098019460248E+00 a       180     0     8     1     5
  3.7869080234081524E-02 a       181     0     8     1     6
 -1.5639245558943713E+00 a       182     0     8     1     7
 -1.5894569411914792E+00 a       183     0     8     1     8
 -1.7049239100575568E+00 a       184     0     8     1     9
  2.8770759727838818E-01 a       185     0     8     1    10
  1.3872621208711555E-01 a       186     0     8     1    11
  1.5435314923906424E-01 a       187     0     8     1    12
 -7.7873475285532456E-01 a       188     0     8     1    13
  4.4328824709695774E-01 a       189     0     8     1    14
 -3.7255140270106346E-01 a       190     0     8     1    15
  5.2426255560827872E-01 a       191     0     8     1    16
  7.4323486696767582E-01 a       192     0     8     1    17
 -8.2428272682521087E-01 a       193     0     8     1    18
