################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2041701545060104E-05   5.2805793356361075E-01   1.1419811096148054E-01   6.2678944308353413E-02
         1          2   4.2000811964875717E-01   8.4423282076828787E-01   5.4378807180560784E-01   3.2355170638240546E-02
         1          3   3.5587938287381861E-02   2.1619018185497951E-01   1.0786293232537610E-01   1.2602190490008002E-02
         1          4   0.0000000000000000E+00   1.4852369603097770E-01   4.3282485465769266E-02   2.8122583263196117E-02
         1          5   5.3831550513809642E-06   4.7658955467381725E-01   7.9402958059697007E-02   4.5109909392488302E-02
         1          6   3.4819500635826589E-01   7.4553624258579765E-01   4.4943745171801125E-01   2.6045782464965781E-02
         1          7   0.0000000000000000E+00   1.0609346031504260E-01   2.8244265112626368E-02   1.8534597575218560E-02
         1          8   1.1445811847941863E-06   4.0424355166588666E-01   4.0335057570961799E-02   2.4784868666637042E-02
         1          9   2.6707512799318600E-01   6.0938063701734346E-01   3.3669403536091624E-01   1.8343307807795060E-02
         1         10   1.3101885717276812E-07   3.3367214018388780E-01   1.6312020844965875E-02   1.1506137278362433E-02
         1         11   2.0850436896816960E-01   4.8317918309202906E-01   2.5438647634356965E-01   1.2262014669574984E-02
         1         12   2.7251996524912242E-01   1.0785572583452339E+00   7.0214121803041762E-01   1.8448991642965479E-01
         1         13   1.7408195252168550E+00   2.3566702263756585E+00   2.0181231022408799E+00   9.0757029788344670E-02
         1         14   3.6874307470390488E-01   6.9370849359279962E-01   4.6398368750183988E-01   4.5298438009706871E-02
         1         15   1.7124700350775957E-01   6.4895866375874856E-01   3.5696630078530772E-01   1.2001463424475482E-01
         1         16   1.4253988733900305E-01   8.8847597860311767E-01   4.9054819643662667E-01   1.5600197680309341E-01
         1         17   1.2775009291559032E+00   1.7918457942206827E+00   1.5016929718189742E+00   7.1027124175335146E-02
         1         18   2.6230926637266733E-01   5.4023493985484539E-01   3.4121984162850988E-01   3.6128503913585651E-02
         1         19   9.0418788058409597E-02   4.8633251855096277E-01   2.4223249589480439E-01   9.6966699445660720E-02
         1         20   3.4772026053211016E-02   6.5873004711221184E-01   2.4009742172943024E-01   9.8609114422021096E-02
         1         21   7.2954227268326066E-01   1.1727958763404980E+00   8.7684305623118530E-01   4.3330630942491379E-02
         1         22   1.1714532645967696E-01   3.2747545194749617E-01   1.8643050394372304E-01   2.1250461763112724E-02
         1         23   2.1496549096303125E-02   2.6502171611135406E-01   1.0956402632702095E-01   5.4789695909764589E-02
