################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.9639347656735030E-01 a         1     0     1     1     1
  2.2221036348819965E+00 a         2     0     1     1     2
  3.8475013184804391E-01 a         3     0     1     1     3
  1.3402582316639742E+00 a         4     0     1     1     4
 -2.2301554573156270E+00 a         5     0     1     1     5
 -4.9500530095283568E-01 a         6     0     1     1     6
  1.6661401947634320E+00 a         7     0     1     1     7
  6.9746193626828912E-01 a         8     0     1     1     8
  1.4680714277574551E+00 a         9     0     1     1     9
 -4.8157446076453431E-01 a        10     0     1     1    10
  2.9175501662052525E+00 a        11     0     1     1    11
 -1.3270676924222464E+00 a        12     0     1     1    12
  1.0603944562668970E+00 a        13     0     1     1    13
 -2.7752673456433175E+00 a        14     0     1     1    14
  2.1254268535180727E+00 a        15     0     1     1    15
 -2.4089955460902308E+00 a        16     0     1     1    16
  1.1595508543389612E+00 a        17     0     1     1    17
 -2.9862254096779397E+00 a        18     0     1     1    18
  1.3892559067302026E+00 a        19     0     1     1    19
 -1.1242856193929431E+00 a        20     0     1     1    20
 -7.1938883405877296E-01 a        21     0     1     1    21
 -2.1531611043718311E+00 a        22     0     1     1    22
 -5.3423729977394618E-01 a        23     0     1     1    23
 -1.9915915818239072E+00 a        24     0     1     1    24
  9.0950370111863132E-01 a        25     0     1     1    25
  2.0945945961481538E+00 a        26     0     2     1     1
  2.8098321794422256E+00 a        27     0     2     1     2
  1.6387316892043295E+00 a        28     0     2     1     3
  5.5821615712011308E-01 a        29     0     2     1     4
  8.4141547177280607E-01 a        30     0     2     1     5
  3.6448578115862795E+00 a        31     0     2     1     6
  2.5293386705813381E+00 a        32     0     2     1     7
 -2.2022622572823853E+00 a        33     0     2     1     8
  2.5890894487786049E-02 a        34     0     2     1     9
  7.9860804336204105E-01 a        35     0     2     1    10
  5.1473981467074081E-01 a        36     0     2     1    11
 -3.4424665944257624E+00 a        37     0     2     1    12
  5.2556533607578237E-01 a        38     0     2     1    13
  7.5874940222642073E-01 a        39     0     2     1    14
  1.4584230046249269E-01 a        40     0     2     1    15
 -3.1008291668624199E+00 a        41     0     2     1    16
  7.8999658185665822E-01 a        42     0     2     1    17
  2.8109253681085317E-02 a        43     0     2     1    18
  1.5988189974727451E+00 a        44     0     2     1    19
 -4.1322834599329772E+00 a        45     0     2     1    20
 -3.3937407596318594E+00 a        46     0     2     1    21
 -4.3451806543292228E+00 a        47     0     2     1    22
  1.2028355395892503E+00 a        48     0     2     1    23
  1.8994523323918460E+00 a        49     0     2     1    24
  1.1941833921406957E+00 a        50     0     2     1    25
  1.8855770750884268E-01 a        51     0     3     1     1
  1.5879096508602613E+00 a        52     0     3     1     2
 -1.7226323600678319E+00 a        53     0     3     1     3
 -1.2069460571341142E+00 a        54     0     3     1     4
 -5.2120004709559653E-01 a        55     0     3     1     5
 -1.7188249606118109E+00 a        56     0     3     1     6
  7.7053185505462207E-01 a        57     0     3     1     7
 -7.3140090915409006E-01 a        58     0     3     1     8
  4.4821903383120504E-02 a        59     0     3     1     9
  2.4321402695418509E-01 a        60     0     3     1    10
 -2.4271100320815382E+00 a        61     0     3     1    11
  4.1410971717243070E+00 a        62     0     3     1    12
 -1.4393301762993225E+00 a        63     0     3     1    13
  5.1190584221637947E-01 a        64     0     3     1    14
  6.0758229775473516E-01 a        65     0     3     1    15
 -2.5274313705471414E+00 a        66     0     3     1    16
  1.8867220463746055E+00 a        67     0     3     1    17
  9.4154328905945117E-01 a        68     0     3     1    18
  2.5696061878557419E-01 a        69     0     3     1    19
 -8.7507293178062773E-01 a        70     0     3     1    20
  3.4427052355499677E+00 a        71     0     3     1    21
  2.1598449353988474E+00 a        72     0     3     1    22
 -1.3422687032574190E+00 a        73     0     3     1    23
 -1.6592529757460812E+00 a        74     0     3     1    24
  3.9209479063173125E-01 a        75     0     3     1    25
  3.3062769600629611E+00 a        76     0     4     1     1
  6.0043535496697398E-01 a        77     0     4     1     2
 -1.0296493862001126E+00 a        78     0     4     1     3
 -9.5604216400073572E-01 a        79     0     4     1     4
 -4.2318982533975302E-01 a        80     0     4     1     5
 -1.3389091379343625E+00 a        81     0     4     1     6
 -1.3113258877897818E-01 a        82     0     4     1     7
  6.5183129202116019E-01 a        83     0     4     1     8
 -1.7833270029684447E+00 a        84     0     4     1     9
 -4.3468464018840974E-01 a        85     0     4     1    10
 -1.4700543563615549E+00 a        86     0     4     1    11
  3.9101959094713994E+00 a        87     0     4     1    12
  1.1227135745807559E+00 a        88     0     4     1    13
 -8.2652051627564904E-01 a        89     0     4     1    14
  2.6307021529885870E+00 a        90     0     4     1    15
  9.9116049092414660E-01 a        91     0     4     1    16
 -1.2810409149296429E+00 a        92     0     4     1    17
  4.7083175720961337E-02 a        93     0     4     1    18
 -1.9922383529803642E-01 a        94     0     4     1    19
 -2.0727474135133397E+00 a        95     0     4     1    20
 -1.6522361451818885E+00 a        96     0     4     1    21
 -1.1848437299543102E+00 a        97     0     4     1    22
 -2.1266349819599308E+00 a        98     0     4     1    23
  2.0808037233732031E+00 a        99     0     4     1    24
 -1.5059100968992600E+00 a       100     0     4     1    25
 -3.3064383121869878E-01 a       101     0     5     1     1
 -2.7665737271793001E+00 a       102     0     5     1     2
  4.0623282613055138E-02 a       103     0     5     1     3
 -8.3065852753004721E-01 a       104     0     5     1     4
  1.1205134919940456E+00 a       105     0     5     1     5
  1.9548391439795838E+00 a       106     0     5     1     6
 -2.2832065879518235E+00 a       107     0     5     1     7
  1.6118434348558928E+00 a       108     0     5     1     8
 -3.9097683246795580E+00 a       109     0     5     1     9
  3.0873139009739496E+00 a       110     0     5     1    10
 -1.7909623382744049E+00 a       111     0     5     1    11
 -1.3553452805189434E+00 a       112     0     5     1    12
 -6.7505023089893090E-01 a       113     0     5     1    13
