################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.2041702528713067E-05   5.2805793380037169E-01   1.1419811096146577E-01   6.2678944308173432E-02
         1          2   4.2000812024680784E-01   8.4423282046999470E-01   5.4378807180583610E-01   3.2355170639708074E-02
         1          3   3.5587938509549742E-02   2.1619018212037602E-01   1.0786293232671607E-01   1.2602190489505448E-02
         1          4   0.0000000000000000E+00   1.4852369625889808E-01   4.3282485465309488E-02   2.8122583261656998E-02
         1          5   5.3831554943516348E-06   4.7658955493901217E-01   7.9402958059611298E-02   4.5109909392433610E-02
         1          6   3.4819500699686895E-01   7.4553624234847671E-01   4.4943745171884875E-01   2.6045782465824903E-02
         1          7   0.0000000000000000E+00   1.0609346046725598E-01   2.8244265112251712E-02   1.8534597574087212E-02
         1          8   1.1445812803019006E-06   4.0424355267564299E-01   4.0335057570850104E-02   2.4784868666772941E-02
         1          9   2.6707512869026506E-01   6.0938063686167787E-01   3.3669403536269160E-01   1.8343307808267810E-02
         1         10   1.3101886831703568E-07   3.3367214127331374E-01   1.6312020844894675E-02   1.1506137278675584E-02
         1         11   2.0850436924700164E-01   4.8317918299737184E-01   2.5438647634629780E-01   1.2262014670301637E-02
         1         12   2.7251996508873233E-01   1.0785572586425636E+00   7.0214121803082119E-01   1.8448991642929688E-01
         1         13   1.7408195258037160E+00   2.3566702263066190E+00   2.0181231022382891E+00   9.0757029794850452E-02
         1         14   3.6874307430098213E-01   6.9370849369891763E-01   4.6398368750401503E-01   4.5298438009862024E-02
         1         15   1.7124700343534988E-01   6.4895866393373136E-01   3.5696630078476843E-01   1.2001463424148245E-01
         1         16   1.4253988754777219E-01   8.8847597886231944E-01   4.9054819643698216E-01   1.5600197680272160E-01
         1         17   1.2775009295528588E+00   1.7918457941888124E+00   1.5016929718169265E+00   7.1027124180987292E-02
         1         18   2.6230926601024607E-01   5.4023493985399129E-01   3.4121984163055158E-01   3.6128503913607585E-02
         1         19   9.0418788247837514E-02   4.8633251870770305E-01   2.4223249589426260E-01   9.6966699442742679E-02
         1         20   3.4772026127307364E-02   6.5873004736835139E-01   2.4009742172958479E-01   9.8609114421739155E-02
         1         21   7.2954227284680306E-01   1.1727958760352661E+00   8.7684305623055814E-01   4.3330630946059191E-02
         1         22   1.1714532685272101E-01   3.2747545226844355E-01   1.8643050394534352E-01   2.1250461762872781E-02
         1         23   2.1496549176768860E-02   2.6502171648007861E-01   1.0956402632653753E-01   5.4789695907709386E-02
         1         24   4.6070901201158707E-03   4.9332909275916736E-01   9.3115672977824956E-02   4.6800228069079304E-02
         1         25   3.9954488361635504E-01   7.9271185592084836E-01   4.9441473731674729E-01   2.4569003138902153E-02
         1         26   2.6466714854221267E-03   1.1530019119787462E-01   3.6966688623881687E-02   2.1455964632823517E-02
         1         27   3.4753115804636684E-04   3.8233633926668115E-01   2.9875400728020373E-02   1.8061071680663777E-02
         1         28   2.5420091927905741E-01   5.6825239462558030E-01   3.1026138638293937E-01   1.4644041426830654E-02
         1         29   1.4139005379309486E-01   3.1913555156904716E-01   1.7823690481957419E-01   7.6305607609337394E-03
         1         30   4.8061000200247707E-03   1.9023157254963061E-01   4.3290748913530394E-02   1.8658395912442238E-02
         1         31   4.8061000200247707E-03   1.9023157254963061E-01   4.3290748913530394E-02   1.8658395912442238E-02
         1         32   3.0752306951295633E-02   3.3373333176081349E-01   1.2743045772722522E-01   4.3680168409757560E-02
         1         33   3.0752306951295633E-02   3.3373333176081349E-01   1.2743045772722522E-01   4.3680168409757560E-02
         1         34   1.0576185035840305E-01   2.1560688216571502E-01   1.4409939453483012E-01   1.6354797218093541E-02
         1         35   1.6089064548911004E-02   1.5792964319543665E-01   6.7527959274181579E-02   3.3546741086349550E-02
         1         36   1.6089064548911004E-02   1.5792964319543665E-01   6.7527959274181579E-02   3.3546741086349550E-02
         1         37   2.7137158875557288E-02   2.5770195737106788E-01   1.0328210890243644E-01   3.4087658989750247E-02
         1         38   2.7137158875557288E-02   2.5770195737106788E-01   1.0328210890243644E-01   3.4087658989750247E-02
         1         39   1.4255749349080691E-02   1.2989914671164057E-01   5.8300355540793054E-02   2.7427960059567255E-02
         1         40   1.4255749349080691E-02   1.2989914671164057E-01   5.8300355540793054E-02   2.7427960059567255E-02
         1         41   5.7735583490148448E-06   4.5203815026854949E-01   6.6359268182981851E-02   3.7921316827996550E-02
         1         42   5.7735583490148448E-06   4.5203815026854949E-01   6.6359268182981851E-02   3.7921316827996550E-02
         1         43   4.3821965300970364E-02   3.5491769574124737E-01   1.2326088203961634E-01   2.1476611114720982E-02
         1         44   0.0000000000000000E+00   9.7482117424149875E-02   2.9045014586798659E-02   1.7915271315182137E-02
         1         45   0.0000000000000000E+00   9.7482117424149875E-02   2.9045014586798659E-02   1.7915271315182137E-02
         1         46   7.7155248853003338E-06   4.3956952737914168E-01   5.6777674207551150E-02   3.1175587478728416E-02
         1         47   7.7155248853003338E-06   4.3956952737914168E-01   5.6777674207551150E-02   3.1175587478728416E-02
         1         48   4.7073981394007140E-02   2.0701348493138053E-01   8.8828728514325897E-02   1.4493176889191257E-02
         1         49   0.0000000000000000E+00   8.8420861359788466E-02   1.8872701439474508E-02   1.4289870414667505E-02
         1         50   0.0000000000000000E+00   8.8420861359788466E-02   1.8872701439474508E-02   1.4289870414667505E-02
         1         51   4.1273019488990892E-06   3.1534409197656771E-01   4.2860489500471888E-02   2.6105154716637564E-02
         1         52   4.1273019488990892E-06   3.1534409197656771E-01   4.2860489500471888E-02   2.6105154716637564E-02
         1         53   2.5310474958364287E-02   2.5310662958406471E-01   8.8513149476471223E-02   1.6790671773040052E-02
         1         54   6.0692684851845782E-06   3.0287546908715979E-01   3.3278895525041208E-02   1.8362793468889530E-02
         1         55   6.0692684851845782E-06   3.0287546908715979E-01   3.3278895525041208E-02   1.8362793468889530E-02
         1         56   2.9294880445223279E-07   2.4655398010937010E-01   1.5851084954296029E-02   1.0617680463778905E-02
