################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -3.8530125732863285E-01 a         1     0     1     1     1
  6.3386532550242469E-01 a         2     0     1     1     2
 -1.9136486475384631E+00 a         3     0     1     1     3
  6.3660778591214651E-01 a         4     0     1     1     4
  6.5253404280950678E-01 a         5     0     1     1     5
 -5.5174827857035072E-03 a         6     0     1     1     6
  1.8575880577271200E+00 a         7     0     1     1     7
  8.5584403087080885E-01 a         8     0     1     1     8
 -2.4547922169624758E+00 a         9     0     1     1     9
 -7.7729324844473069E-01 a        10     0     1     1    10
  4.3888013813798660E-01 a        11     0     1     1    11
  4.4910747654221295E+00 a        12     0     1     1    12
 -2.2834630879374607E+00 a        13     0     1     1    13
 -1.5993723702221718E+00 a        14     0     1     1    14
  1.5848222978768911E-01 a        15     0     1     1    15
  2.7894787234914797E-01 a        16     0     1     1    16
 -8.6243137905771572E-01 a        17     0     1     1    17
 -4.2062163474340425E-01 a        18     0     1     1    18
 -2.2643681973069552E-01 a        19     0     1     1    19
 -5.6106372151550299E-01 a        20     0     1     1    20
 -3.5371683270268139E-01 a        21     0     1     1    21
  6.3452143473535616E-01 a        22     0     1     1    22
  1.6635872026031789E-01 a        23     0     1     1    23
 -2.1247458525504141E+00 a        24     0     1     1    24
 -3.0036509354981642E+00 a        25     0     1     1    25
 -7.0153298201449632E-01 a        26     0     2     1     1
 -5.2175065469329063E+00 a        27     0     2     1     2
 -3.2670874390239937E+00 a        28     0     2     1     3
 -3.4769881054236609E+00 a        29     0     2     1     4
 -5.1608670081764993E-02 a        30     0     2     1     5
  2.2912068070214469E+00 a        31     0     2     1     6
 -5.4352281918210732E-01 a        32     0     2     1     7
 -2.6689584635228752E-01 a        33     0     2     1     8
  2.1905344353446869E+00 a        34     0     2     1     9
  3.8668791205492998E+00 a        35     0     2     1    10
 -2.9306320078960888E+00 a        36     0     2     1    11
  4.2393208805769929E+00 a        37     0     2     1    12
  9.0722582262005969E-01 a        38     0     2     1    13
 -1.6575264602165780E+00 a        39     0     2     1    14
  3.2862225158514229E+00 a        40     0     2     1    15
 -2.3227863473780332E+00 a        41     0     2     1    16
 -8.0786925999404824E-01 a        42     0     2     1    17
 -3.6538014280631423E+00 a        43     0     2     1    18
  1.3354055484030500E+00 a        44     0     2     1    19
 -2.9611823206005936E+00 a        45     0     2     1    20
  1.0916637684717354E+00 a        46     0     2     1    21
 -1.9196333066806166E+00 a        47     0     2     1    22
  2.3662379795492718E+00 a        48     0     2     1    23
  4.1541461481519110E-01 a        49     0     2     1    24
 -1.1728777531277306E+00 a        50     0     2     1    25
  3.0342507188783028E+00 a        51     0     3     1     1
  9.5169939893783251E-01 a        52     0     3     1     2
  2.3388562071213879E+00 a        53     0     3     1     3
 -1.2330734443517031E+00 a        54     0     3     1     4
  3.9704631905960142E-01 a        55     0     3     1     5
 -2.8500565162710005E+00 a        56     0     3     1     6
  8.5704738213291354E-01 a        57     0     3     1     7
 -3.3554063817488322E-02 a        58     0     3     1     8
  1.6332484374267042E-01 a        59     0     3     1     9
 -3.4657390926563347E+00 a        60     0     3     1    10
  2.0861846554909871E+00 a        61     0     3     1    11
 -1.1155133026958479E-01 a        62     0     3     1    12
 -1.9441355810138137E+00 a        63     0     3     1    13
 -5.0935567223229938E+00 a        64     0     3     1    14
  3.9119802482892760E+00 a        65     0     3     1    15
  1.4770961539601579E+00 a        66     0     3     1    16
  4.2454495299048851E+00 a        67     0     3     1    17
 -4.5229906152365956E-01 a        68     0     3     1    18
  1.0075776508421785E+00 a        69     0     3     1    19
 -1.5232460903933958E+00 a        70     0     3     1    20
  3.1572894716665656E-01 a        71     0     3     1    21
 -1.5965230384628009E+00 a        72     0     3     1    22
 -2.0748867645532227E+00 a        73     0     3     1    23
  8.8424131456413557E-01 a        74     0     3     1    24
  2.0460017442168215E+00 a        75     0     3     1    25
 -1.3075023458469746E+00 a        76     0     4     1     1
 -9.1578669325693807E-01 a        77     0     4     1     2
  2.6292803703263101E+00 a        78     0     4     1     3
 -1.6047356894392490E+00 a        79     0     4     1     4
  8.4701507596082093E-01 a        80     0     4     1     5
 -8.9645162405809597E-01 a        81     0     4     1     6
